Freq p' spl
0 0.208120985 80.3457176
10.0160256 0.208510232 80.3619475
20.0320513 0.210882606 80.4602153
30.0480769 0.214866558 80.6227766
40.0641026 0.220494035 80.847337
50.0801282 0.227901993 81.1343626
60.0961538 0.237270421 81.4842721
70.1121795 0.249240168 81.9117608
80.1282051 0.269334278 82.5852327
90.1442308 0.318448106 84.0401735
100.160256 5.55834672 108.878313
110.176282 0.222809085 80.938058
120.192308 0.241445084 81.6357674
130.208333 0.259309766 82.2557775
140.224359 0.269719965 82.597662
150.240385 0.277323327 82.8391281
160.25641 0.283336839 83.025461
170.272436 0.28527923 83.0848032
180.288462 0.289604099 83.2154942
190.304487 0.285426619 83.0892896
200.320513 0.267198118 82.516068
210.336538 0.277275798 82.8376393
220.352564 0.274077589 82.7368706
230.36859 0.265302519 82.4542276
240.384615 0.258530218 82.2296264
250.400641 0.247969491 81.8673651
260.416667 0.23958716 81.5686709
270.432692 0.226895321 81.0959109
280.448718 0.21892242 80.7852049
290.464744 0.206371914 80.2724119
300.480769 0.204627154 80.1986653
310.496795 0.18793641 79.4596186
320.512821 0.177701559 78.9732248
330.528846 0.169004073 78.5373435
340.544872 0.161950826 78.1670635
350.560897 0.15397027 77.7281375
360.576923 0.149620163 77.4792025
370.592949 0.14476248 77.1925204
380.608974 0.140883855 76.9566246
390.625 0.140608449 76.9396284
400.641026 0.135423822 76.6133014
410.657051 0.139707783 76.8838121
420.673077 0.138875007 76.831882
430.689103 0.142673299 77.0662541
440.705128 0.143400325 77.1104028
450.721154 0.147501082 77.3553042
460.737179 0.150856516 77.5506815
470.753205 0.154034271 77.7317472
480.769231 0.157340909 77.9162332
490.785256 0.162738754 78.2092198
500.801282 0.182341709 79.1971205
510.817308 0.172420368 78.7111714
520.833333 0.173381787 78.7594696
530.849359 0.178033265 78.9894232
540.865385 0.180641413 79.1157465
550.88141 0.182976333 79.2272985
560.897436 0.185876982 79.3639123
570.913462 0.187753879 79.4511785
580.929487 0.188860859 79.5022393
590.945513 0.190732598 79.5878986
600.961538 0.192736379 79.678674
610.977564 0.193352436 79.706393
620.99359 0.19231974 79.6598774
631.009615 0.191940691 79.6427412
641.025641 0.191386114 79.6176086
651.041667 0.18961574 79.5368878
661.057692 0.188346204 79.4785375
671.073718 0.18575052 79.3580008
681.089744 0.182936221 79.2253942
691.105769 0.177380768 78.9575307
701.121795 0.218320372 80.7612853
711.137821 0.181417461 79.1529818
721.153846 0.176274497 78.9031898
731.169872 0.172415378 78.7109201
741.185897 0.168850265 78.529435
751.201923 0.165375452 78.348821
761.217949 0.162136193 78.1769995
771.233974 0.158856291 77.9994884
781.25 0.155675829 77.8238238
791.266026 0.15325007 77.6874137
801.282051 0.150498729 77.5300567
811.298077 0.147779033 77.3716565
821.314103 0.144777406 77.1934159
831.330128 0.142123955 77.0327458
841.346154 0.139045192 76.8425196
851.362179 0.136157466 76.6602293
861.378205 0.133017599 76.4575822
871.394231 0.129823915 76.2464941
881.410256 0.126723102 76.036516
891.426282 0.126509763 76.0218809
901.442308 0.0855783987 72.6266832
911.458333 0.107886616 74.6387515
921.474359 0.104553466 74.3661688
931.490385 0.100610356 74.0322538
941.50641 0.0960896154 73.6329292
951.522436 0.0918466531 73.2406668
961.538462 0.0874242395 72.8120374
971.554487 0.0831863544 72.3804419
981.570513 0.0798884053 72.0290751
991.586538 0.0755755217 71.5470232
1001.60256 0.0770086623 71.7101917
1011.61859 0.0757793808 71.5704211
1021.63462 0.075179721 71.5014143
1031.65064 0.0767975708 71.6863497
1041.66667 0.0793022839 71.965114
1051.68269 0.0826331837 72.3224898
1061.69872 0.0867313017 72.7429174
1071.71474 0.0912963971 73.1884729
1081.73077 0.0963454695 73.656026
1091.74679 0.0975909948 73.767595
1101.76282 0.121214243 75.6504731
1111.77885 0.117102311 75.3507094
1121.79487 0.12186782 75.6971809
1131.8109 0.127146451 76.065485
1141.82692 0.132054337 76.3944535
1151.84295 0.137092793 76.7196926
1161.85897 0.141799316 77.0128828
1171.875 0.14655779 77.2995782
1181.89103 0.150957146 77.5564736
1191.90705 0.153219991 77.6857087
1201.92308 0.169168527 78.5457915
1211.9391 0.16106347 78.1193411
1221.95513 0.165057207 78.3320899
1231.97115 0.16714844 78.4414466
1241.98718 0.169196181 78.5472112
1252.00321 0.171038244 78.6412646
1262.01923 0.17204528 78.6922553
1272.03526 0.172786919 78.7296173
1282.05128 0.173932615 78.7870206
1292.06731 0.179320674 79.0520074
1302.08333 0.137095822 76.7198845
1312.09936 0.156398918 77.864075
1322.11538 0.155112134 77.7923155
1332.13141 0.151545088 77.5902374
1342.14744 0.1467258 77.3095298
1352.16346 0.141200211 76.976107
1362.17949 0.1349225 76.5810877
1372.19551 0.128245313 76.1402301
1382.21154 0.121134631 75.6447665
1392.22756 0.115224585 75.2103031
1402.24359 0.0982155352 73.8230038
1412.25962 0.0940958303 73.4508077
1422.27564 0.0878807644 72.8572766
1432.29167 0.0804827845 72.09346
1442.30769 0.0728919039 71.232986
1452.32372 0.0657649364 70.3392882
1462.33974 0.0589559195 69.3899484
1472.35577 0.0527081429 68.4169544
1482.37179 0.0476820751 67.546503
1492.38782 0.0417948724 66.4018602
1502.40385 0.0340751245 64.6281491
1512.41987 0.0346040945 64.7619499
1522.4359 0.031762278 64.0176329
1532.45192 0.0292676953 63.3071706
1542.46795 0.0273283682 62.7116741
1552.48397 0.0258922949 62.242811
1562.5 0.0248952405 61.9017266
1572.51603 0.0239002043 61.5474324
1582.53205 0.0239376467 61.5610291
1592.54808 0.021076307 60.4552904
1602.5641 0.0295481236 63.3899982
1612.58013 0.0229894277 61.2099633
1622.59615 0.0241945416 61.6537481
1632.61218 0.0246309522 61.8090241
1642.62821 0.0254796342 62.1032639
1652.64423 0.0264277284 62.4205968
1662.66026 0.0279067627 62.8935893
1672.67628 0.0289073278 63.199559
1682.69231 0.0304993948 63.6652245
1692.70833 0.031440038 63.9290613
1702.72436 0.0291197275 63.2631462
1712.74038 0.0336707699 64.524461
1722.75641 0.0365161188 65.2290923
1732.77244 0.0377085041 65.5081862
1742.78846 0.0395695474 65.9266217
1752.80449 0.0410971868 66.255642
1762.82051 0.0429959365 66.6479483
1772.83654 0.0445616288 66.9586212
1782.85256 0.0462363159 67.2790645
1792.86859 0.048506212 67.6953473
1802.88462 0.0525532317 68.3913886
1812.90064 0.0502914555 68.0092842
1822.91667 0.0507676782 68.0911461
1832.93269 0.0513186903 68.1849114
1842.94872 0.0512263631 68.1692706
1852.96474 0.0513244576 68.1858875
1862.98077 0.0503937646 68.0269362
1872.99679 0.0494126939 67.8561707
