Freq p' spl
0 0.231975489 81.2882421
10.0160256 0.231913099 81.2859057
20.0320513 0.239162384 81.5532576
30.0480769 0.251266957 81.9821077
40.0641026 0.267581795 82.5285313
50.0801282 0.288078716 83.1696235
60.0961538 0.312443123 83.8748195
70.1121795 0.34097666 84.6338931
80.1282051 0.380258919 85.5809883
90.1442308 0.462638485 87.2842352
100.160256 8.33704213 112.39964
110.176282 0.386358278 85.7192045
120.192308 0.417124437 86.3847128
130.208333 0.457045398 87.1785869
140.224359 0.487333684 87.7359287
150.240385 0.515773899 88.2285873
160.25641 0.541050553 88.644157
170.272436 0.56149326 88.966291
180.288462 0.585079345 89.3236954
190.304487 0.595336452 89.4746496
200.320513 0.610031911 89.6864512
210.336538 0.615862519 89.7690756
220.352564 0.624464063 89.8895491
230.36859 0.623479899 89.8758492
240.384615 0.624704733 89.892896
250.400641 0.617281969 89.7890719
260.416667 0.612659902 89.7237892
270.432692 0.597968526 89.5129666
280.448718 0.591035167 89.4116665
290.464744 0.570763491 89.1085238
300.480769 0.58792098 89.3657793
310.496795 0.545579042 88.7165537
320.512821 0.523615625 88.359652
330.528846 0.506969732 88.0790407
340.544872 0.488061887 87.748898
350.560897 0.466180697 87.3504858
360.576923 0.45084274 87.0599017
370.592949 0.432648891 86.702112
380.608974 0.411134273 86.2590737
390.625 0.396833778 85.9515727
400.641026 0.40141414 86.0512534
410.657051 0.371017132 85.3672794
420.673077 0.353807706 84.9547458
430.689103 0.34706673 84.7876598
440.705128 0.331966575 84.4012872
450.721154 0.32126997 84.1168028
460.737179 0.316789085 83.9948043
470.753205 0.308695409 83.7700035
480.769231 0.299308193 83.5017722
490.785256 0.298850157 83.4884698
500.801282 0.31199109 83.8622439
510.817308 0.296682622 83.4252423
520.833333 0.293304709 83.3257808
530.849359 0.294407117 83.3583662
540.865385 0.293598459 83.3344755
550.88141 0.294132559 83.3502621
560.897436 0.295428274 83.3884412
570.913462 0.296020162 83.4058259
580.929487 0.29691092 83.4319235
590.945513 0.301715989 83.5713666
600.961538 0.276910649 82.8261932
610.977564 0.291218879 83.2637906
620.99359 0.289312696 83.2067499
631.009615 0.286268813 83.1148808
641.025641 0.283906368 83.0429028
651.041667 0.278698544 82.8820941
661.057692 0.273191255 82.708736
671.073718 0.266111645 82.4806777
681.089744 0.259294289 82.2552591
691.105769 0.249793056 81.9310073
701.121795 0.289285631 83.2059373
711.137821 0.237189982 81.4813269
721.153846 0.224124206 80.9891754
731.169872 0.21204993 80.5081628
741.185897 0.199650995 79.9848297
751.201923 0.186893013 79.4112614
761.217949 0.173366412 78.7586993
771.233974 0.159603465 78.0402464
781.25 0.14719325 77.337158
791.266026 0.135614758 76.6255391
801.282051 0.114107291 75.125668
811.298077 0.111457643 74.9215972
821.314103 0.103684786 74.2937008
831.330128 0.0971197552 73.7255517
841.346154 0.0923846345 73.291395
851.362179 0.0889598878 72.9632846
861.378205 0.0874900147 72.8185699
871.394231 0.0867818524 72.7479784
881.410256 0.0869842984 72.7682174
891.426282 0.0859201533 72.6613009
901.442308 0.081660106 72.2195989
911.458333 0.0818485344 72.2396182
921.474359 0.0810793659 72.157607
931.490385 0.0785927979 71.8870551
941.50641 0.075212006 71.5051435
951.522436 0.0708873754 70.990778
961.538462 0.0662311714 70.4006488
971.554487 0.0608620526 69.666332
981.570513 0.0556971859 68.8960651
991.586538 0.0512804385 68.1784347
1001.60256 0.035286788 64.9316427
1011.61859 0.0392614697 65.8587311
1021.63462 0.0367944151 65.2950381
1031.65064 0.0355451281 64.9950018
1041.66667 0.0356592856 65.0228528
1051.68269 0.0364774713 65.2198946
1061.69872 0.0378117293 65.5319309
1071.71474 0.0387079944 65.7354135
1081.73077 0.0392907027 65.865196
1091.74679 0.0390193765 65.8050066
1101.76282 0.0367661686 65.2883676
1111.77885 0.0384279715 65.6723493
1121.79487 0.0362729447 65.1710564
1131.8109 0.0346502142 64.7735186
1141.82692 0.0327734536 64.2898443
1151.84295 0.0314567543 63.9336783
1161.85897 0.0298675968 63.4834057
1171.875 0.0286288626 63.115482
1181.89103 0.027373315 62.725948
1191.90705 0.0267345702 62.5208642
1201.92308 0.0210229366 60.4332677
1211.9391 0.0217718953 60.7373248
1221.95513 0.0195913411 59.8206834
1231.97115 0.0166322619 58.3984264
1241.98718 0.0135032761 56.5881831
1252.00321 0.0100575244 54.029222
1262.01923 0.00666548204 50.4560313
1272.03526 0.00335705517 44.4985696
1282.05128 0.00190077578 39.5580179
1292.06731 0.00411899235 46.2752198
1302.08333 0.0053383652 48.5275657
1312.09936 0.00862450707 52.6940857
1322.11538 0.0109213799 54.7449504
1332.13141 0.0126804357 56.0420836
1342.14744 0.013931195 56.8591675
1352.16346 0.0149143062 57.4514612
1362.17949 0.0155374352 57.8069867
1372.19551 0.0157733412 57.9378741
1382.21154 0.0156066515 57.8455947
1392.22756 0.0146799897 57.3139151
1402.24359 0.0137938069 56.7730829
1412.25962 0.0127453248 56.0864182
1422.27564 0.011697417 55.3411995
1432.29167 0.0105469164 54.4419101
1442.30769 0.00942892139 53.4686404
1452.32372 0.00860665406 52.676087
1462.33974 0.00832682226 52.388986
1472.35577 0.00826882728 52.3282785
1482.37179 0.00904324764 53.1058886
1492.38782 0.00992913179 53.9176256
1502.40385 0.0123613241 55.8207
1512.41987 0.0107314216 54.5925452
1522.4359 0.0109359272 54.7565123
1532.45192 0.0111324644 54.9112264
1542.46795 0.010952457 54.7696312
1552.48397 0.0106987059 54.5660251
1562.5 0.0102217209 54.1698805
1572.51603 0.00971405875 53.7274146
1582.53205 0.00920137443 53.2564542
1592.54808 0.00883554136 52.9040634
1602.5641 0.0111456709 54.9215244
1612.58013 0.00959372948 53.6191494
1622.59615 0.00937742012 53.4210676
1632.61218 0.00944790699 53.4861123
1642.62821 0.00941085963 53.451986
1652.64423 0.00949982696 53.533714
1662.66026 0.00935905492 53.40404
1672.67628 0.00922547388 53.2791738
1682.69231 0.00875612446 52.8256386
1692.70833 0.0089086377 52.975626
1702.72436 0.0063913183 50.091209
1712.74038 0.00746070354 51.4349958
1722.75641 0.0070674375 50.9646396
1732.77244 0.0065738301 50.3357696
1742.78846 0.00643731245 50.1534919
1752.80449 0.00647087444 50.1986595
1762.82051 0.00670219919 50.5037467
1772.83654 0.00709225747 50.99509
1782.85256 0.00746181702 51.436292
1792.86859 0.00807015899 52.1170419
1802.88462 0.00895445666 53.0201849
1812.90064 0.00923195403 53.2852728
1822.91667 0.00940041309 53.4423389
1832.93269 0.00951063362 53.5435891
1842.94872 0.00965286484 53.6725246
1852.96474 0.00960487673 53.629236
1862.98077 0.00944865015 53.4867955
1872.99679 0.00923088645 53.2842683
1883.01282 0.00898215171 53.0470078
1893.02885 0.0085062553 52.5741683
1903.04487 0.00909684745 53.1572183
1913.0609 0.00859043102 52.6596992
1923.07692 0.00837602034 52.4401546
1933.09295 0.0083328949 52.3953182
1943.10897 0.00816406257 52.2175266
1953.125 0.00817047238 52.2243434
1963.14103 0.00789957021 51.9314694
1973.15705 0.00776039677 51.7770786
1983.17308 0.00756234149 51.5525258
1993.1891 0.0073112852 51.2592746
2003.20513 0.00727124518 51.2115759
2013.22115 0.00677552763 50.5982625
2023.23718 0.00661181213 50.3858102
2033.25321 0.00653845574 50.2889038
2043.26923 0.00642153397 50.1321758
2053.28526 0.00632043842 49.9943442
2063.30128 0.00631157057 49.9821489
2073.31731 0.00624378484 49.8883587
2083.33333 0.00615200005 49.7597267
2093.34936 0.0058317296 49.2953477
2103.36538 0.00723655031 51.1700318
2113.38141 0.00671802154 50.5242279
2123.39744 0.00680145671 50.6314388
2133.41346 0.00703386094 50.9232756
2143.42949 0.00723907594 51.1730627
2153.44551 0.00745448704 51.4277554
2163.46154 0.00761052339 51.6076906
2173.47756 0.00771996152 51.7317028
2183.49359 0.00770029878 51.7095516
2193.50962 0.00743046146 51.3997158
2203.52564 0.00762029344 51.618834
2213.54167 0.00732213998 51.2721606
2223.55769 0.00702047278 50.9067273
2233.57372 0.0067697927 50.5909075
2243.58974 0.00650791573 50.2482385
2253.60577 0.00638593698 50.0838927
2263.62179 0.00628023805 49.9389222
2273.63782 0.00630980578 49.9797199
2283.65385 0.00641222462 50.1195746
2293.66987 0.00664681441 50.4316711
2303.6859 0.00639869164 50.1012237
2313.70192 0.00664914406 50.4347149
2323.71795 0.00673206768 50.5423696
2333.73397 0.00667239848 50.4650396
2343.75 0.00660342968 50.3747912
2353.76603 0.00645877839 50.1824078
2363.78205 0.00627282797 49.9286676
2373.79808 0.0061064096 49.6951187
2383.8141 0.00590025762 49.3968196
2393.83013 0.00575991925 49.187728
2403.84615 0.0058785017 49.3647331
2413.86218 0.00578634148 49.2274813
2423.87821 0.00571867683 49.1253112
2433.89423 0.00576963079 49.2023605
2443.91026 0.00585309933 49.327118
2453.92628 0.00590281067 49.4005772
2463.94231 0.0059494371 49.4689176
2473.95833 0.00605198048 49.6173505
2483.97436 0.00606852436 49.6410621
2493.99038 0.00636597588 50.0566999
2504.00641 0.00581421961 49.2692287
2514.02244 0.00619116265 49.8148444
2524.03846 0.00613311306 49.7330195
2534.05449 0.00613660984 49.7379703
2544.07051 0.00613659323 49.7379468
2554.08654 0.00608410716 49.6633372
2564.10256 0.00598980417 49.5276526
2574.11859 0.00593902471 49.4537027
2584.13462 0.00583281451 49.2969634
2594.15064 0.00591179194 49.4137829
2604.16667 0.00533863201 48.5279998
2614.18269 0.00547910758 48.7535966
2624.19872 0.00547431849 48.7460013
2634.21474 0.00544513268 48.6995694
2644.23077 0.00544164111 48.693998
2654.24679 0.00547598812 48.74865
2664.26282 0.00555912724 48.8795324
2674.27885 0.00559890274 48.9414586
2684.29487 0.00564790714 49.017151
2694.3109 0.00552281981 48.8226176
2704.32692 0.00620154003 49.8293911
2714.34295 0.00581467935 49.2699155
2724.35897 0.00567640848 49.0608729
2734.375 0.00552643512 48.8283016
2744.39103 0.0053110391 48.4829901
2754.40705 0.00507503668 48.0881838
2764.42308 0.00488719563 47.7605946
2774.4391 0.0047151806 47.4493667
2784.45513 0.00464347999 47.3162717
