Freq p' spl
0 0.117179646 75.3564437
10.0160256 0.117230832 75.360237
20.0320513 0.120923487 75.6296133
30.0480769 0.127075293 76.0606225
40.0641026 0.135343848 76.6081705
50.0801282 0.145708675 77.2491083
60.0961538 0.157958442 77.9502569
70.1121795 0.172198294 78.699977
80.1282051 0.191594177 79.6270462
90.1442308 0.233160921 81.3325153
100.160256 4.14492573 106.329735
110.176282 0.195280992 79.7925995
120.192308 0.210069465 80.4266587
130.208333 0.229997952 81.2138795
140.224359 0.245019978 81.76343
150.240385 0.259310988 82.2558185
160.25641 0.27192271 82.6683097
170.272436 0.282232538 82.9915417
180.288462 0.294155924 83.3509521
190.304487 0.299368443 83.5035205
200.320513 0.306372309 83.7043903
210.336538 0.309804226 83.8011468
220.352564 0.314379966 83.9284973
230.36859 0.313741851 83.9108492
240.384615 0.314564044 83.9335817
250.400641 0.310586676 83.8230565
260.416667 0.308399367 83.7616697
270.432692 0.300672515 83.5412747
280.448718 0.297152538 83.438989
290.464744 0.286649938 83.1264371
300.480769 0.296053968 83.4068178
310.496795 0.273707695 82.7251402
320.512821 0.26238897 82.3583116
330.528846 0.253752082 82.0675924
340.544872 0.244113524 81.7312369
350.560897 0.23296289 81.325135
360.576923 0.225041377 81.0246476
370.592949 0.21604417 80.6702511
380.608974 0.205069761 80.2174326
390.625 0.198040212 79.9144677
400.641026 0.200823578 80.0356941
410.657051 0.185456891 79.3442596
420.673077 0.176919752 78.9349265
430.689103 0.173800244 78.7804077
440.705128 0.1666527 78.4156472
450.721154 0.161427065 78.1389271
460.737179 0.159513338 78.0353402
470.753205 0.155850243 77.8335498
480.769231 0.151330171 77.5779105
490.785256 0.151412578 77.5826392
500.801282 0.158180057 77.9624346
510.817308 0.150779707 77.546258
520.833333 0.149194454 77.4544537
530.849359 0.149894967 77.4951411
540.865385 0.149635302 77.4800814
550.88141 0.149933906 77.4973972
560.897436 0.150669908 77.5399306
570.913462 0.150990731 77.5584058
580.929487 0.151439321 77.5841732
590.945513 0.154004318 77.730058
600.961538 0.140804948 76.9517584
610.977564 0.148571434 77.4181064
620.99359 0.147678898 77.3657689
631.009615 0.146172095 77.2766895
641.025641 0.145047866 77.209627
651.041667 0.142547879 77.0586153
661.057692 0.139910575 76.8964109
671.073718 0.136498458 76.681955
681.089744 0.13332348 76.4775329
691.105769 0.128910281 76.1851512
701.121795 0.148673228 77.4240555
711.137821 0.122999677 75.7774795
721.153846 0.116903392 75.3359423
731.169872 0.111215585 74.9027131
741.185897 0.105376241 74.4342541
751.201923 0.0993915978 73.9263935
761.217949 0.0929586212 73.3451936
771.233974 0.086362715 72.7059258
