Freq p' spl
0 0.180466473 79.1073307
10.0160256 0.179788798 79.0746527
20.0320513 0.184783888 79.3126821
30.0480769 0.193119933 79.6959421
40.0641026 0.204345097 80.1866845
50.0801282 0.218618023 80.7731193
60.0961538 0.237025409 81.4752982
70.1121795 0.262092985 82.348508
80.1282051 0.287433838 83.150158
90.1442308 0.31647835 83.9862802
100.160256 5.99955223 109.541777
110.176282 0.34749025 84.7982526
120.192308 0.406851469 86.1681179
130.208333 0.448057346 87.0060721
140.224359 0.494199304 87.8574427
150.240385 0.539771079 88.6235923
160.25641 0.581199353 89.2659025
170.272436 0.618522673 89.8065126
180.288462 0.656229134 90.3205102
190.304487 0.666277953 90.4525089
200.320513 0.693303417 90.7978669
210.336538 0.685336767 90.6974807
220.352564 0.697817601 90.8542385
230.36859 0.665059751 90.4366134
240.384615 0.658586208 90.3516527
250.400641 0.599078381 89.529073
260.416667 0.589481311 89.3888009
270.432692 0.50255612 88.0030914
280.448718 0.479841358 87.6013536
290.464744 0.402473645 86.074149
300.480769 0.370851364 85.3633977
310.496795 0.290739192 83.2494717
320.512821 0.222598851 80.9298585
330.528846 0.160263904 78.0761145
340.544872 0.102764023 74.2162221
350.560897 0.0462601689 67.2835444
360.576923 0.0264994148 62.4441257
370.592949 0.0658154137 70.3459524
380.608974 0.111860922 74.952968
390.625 0.150251028 77.5157491
400.641026 0.186173901 79.3777761
410.657051 0.217426521 80.7256504
420.673077 0.23963137 81.5702735
430.689103 0.266757128 82.5017208
440.705128 0.277721638 82.8515945
450.721154 0.292814199 83.3112427
460.737179 0.302691007 83.5993905
470.753205 0.309934061 83.8047862
480.769231 0.308223186 83.7567062
490.785256 0.312401869 83.8736726
500.801282 0.30335445 83.6184075
510.817308 0.302022543 83.5801873
520.833333 0.290585215 83.2448704
530.849359 0.280553876 82.9397256
540.865385 0.264667846 82.4334238
550.88141 0.246509424 81.8160706
560.897436 0.227538078 81.1204818
570.913462 0.204564538 80.1960071
580.929487 0.179816614 79.0759964
590.945513 0.158838375 77.9985088
600.961538 0.115153226 75.2049223
610.977564 0.0986409113 73.8605416
620.99359 0.0740336629 71.3679848
631.009615 0.0535314201 68.5515754
641.025641 0.0451225474 67.0672723
651.041667 0.0507983042 68.0963844
661.057692 0.0655468206 70.3104327
671.073718 0.081964472 72.251913
681.089744 0.097577328 73.7663785
691.105769 0.108556211 74.6924936
