Freq p' spl
0 0.122138439 75.7164474
10.0160256 0.121772752 75.6904025
20.0320513 0.125240417 75.9342902
30.0480769 0.131011262 76.3255727
40.0641026 0.138766558 76.8250964
50.0801282 0.148586378 77.41898
60.0961538 0.16121762 78.1276502
70.1121795 0.178353409 79.0050284
80.1282051 0.195892631 79.8197621
90.1442308 0.215434292 80.6456968
100.160256 3.99187251 106.002933
110.176282 0.233771224 81.3552211
120.192308 0.274698116 82.7565137
130.208333 0.30227244 83.5873711
140.224359 0.332961894 84.4272908
150.240385 0.362923838 85.17571
160.25641 0.39007035 85.8022589
170.272436 0.414348409 86.3267136
180.288462 0.438629894 86.8213646
190.304487 0.44455871 86.9379826
200.320513 0.46014323 87.2372608
210.336538 0.455415373 87.1475538
220.352564 0.46270504 87.2854847
230.36859 0.440303889 86.8544505
240.384615 0.435256667 86.7543087
250.400641 0.39515666 85.9147862
260.416667 0.38832902 85.763397
270.432692 0.33021212 84.3552603
280.448718 0.315173997 83.9504077
290.464744 0.263550753 82.3966853
300.480769 0.242809543 81.6847151
310.496795 0.189794454 79.5450705
320.512821 0.144714066 77.189615
330.528846 0.10354824 74.2822545
340.544872 0.0657939716 70.3431222
350.560897 0.0282355151 62.9953144
360.576923 0.0175600433 58.8699117
370.592949 0.0445905955 66.9642655
380.608974 0.0754315976 71.5304662
390.625 0.100711077 74.0409449
400.641026 0.125057004 75.9215605
410.657051 0.145533082 77.2386346
420.673077 0.160343709 78.0804386
430.689103 0.178535558 79.0138946
440.705128 0.185897349 79.364864
450.721154 0.196163866 79.8317803
460.737179 0.202830823 80.1220791
470.753205 0.207703068 80.3282583
480.769231 0.206596493 80.281859
490.785256 0.209359913 80.3972707
500.801282 0.203196581 80.137728
510.817308 0.202073431 80.0895844
520.833333 0.194249988 79.7466201
530.849359 0.18716443 79.4238664
540.865385 0.176355426 78.9071766
550.88141 0.163848611 78.2682554
560.897436 0.150882117 77.5521555
570.913462 0.13530513 76.6056853
580.929487 0.118542668 75.456894
590.945513 0.104336775 74.3481483
600.961538 0.0757139956 71.5629234
610.977564 0.0644416177 70.1627288
620.99359 0.0484273504 67.6812142
631.009615 0.0356347387 65.0168717
641.025641 0.0314139237 63.9218438
651.041667 0.0361546776 65.14269
661.057692 0.0462459077 67.2808662
671.073718 0.0571584855 69.1210143
681.089744 0.0675363961 70.5701577
691.105769 0.074887113 71.4675419
701.121795 0.108471256 74.6856935
711.137821 0.0907298664 73.1344055
721.153846 0.0922664962 73.2802807
731.169872 0.0926583224 73.3170887
741.185897 0.0920399925 73.2589316
751.201923 0.0900628648 73.0703152
761.217949 0.086905982 72.7603935
771.233974 0.0831864027 72.380447
781.25 0.0795103306 71.9878713
791.266026 0.0757394123 71.5658387
801.282051 0.0694757832 70.8160691
811.298077 0.0683476466 70.6738714
821.314103 0.0656906665 70.3294735
831.330128 0.0635157991 70.0370354
841.346154 0.0617877385 69.7974461
851.362179 0.0603097254 69.5871471
861.378205 0.0594203774 69.4581082
871.394231 0.0586111198 69.3390005
881.410256 0.0578184304 69.220726
891.426282 0.0561166266 68.9612312
901.442308 0.0545627453 68.7173244
911.458333 0.053375424 68.5262268
921.474359 0.0521715594 68.3280764
931.490385 0.0504180712 68.0311246
941.50641 0.0485090068 67.6958477
951.522436 0.0464361937 67.3165324
961.538462 0.0446655732 66.9788583
971.554487 0.0426863704 66.5851847
981.570513 0.0411358466 66.2638089
991.586538 0.0398197434 65.9813692
1001.60256 0.036274471 65.1714218
1011.61859 0.0376002179 65.4832073
1021.63462 0.0372174828 65.39434
1031.65064 0.0371772395 65.3849429
1041.66667 0.0372859151 65.4102962
1051.68269 0.037509562 65.4622399
1061.69872 0.0375488637 65.4713361
1071.71474 0.0371866323 65.3871371
1081.73077 0.0363987356 65.201126
1091.74679 0.0347985622 64.8106261
1101.76282 0.0343807605 64.7057097
1111.77885 0.0303978398 63.6362545
1121.79487 0.0266227247 62.4844501
1131.8109 0.0229056198 61.1782411
1141.82692 0.0187346684 59.4323203
1151.84295 0.0145746172 57.2513432
1161.85897 0.0109095145 54.7355085
1171.875 0.00829516476 52.3559004
1181.89103 0.00757282204 51.5645551
1191.90705 0.00834045873 52.4031988
1201.92308 0.0117059924 55.3475648
1211.9391 0.0122765579 55.7609324
1221.95513 0.0135713003 56.6318293
1231.97115 0.0142504774 57.0559884
1241.98718 0.0142674366 57.0663191
1252.00321 0.0138522791 56.8098247
1262.01923 0.012821722 56.1383272
1272.03526 0.0114390791 55.1472214
1282.05128 0.0097236577 53.7359933
1292.06731 0.00926820398 53.3193118
1302.08333 0.00357736163 45.050657
1312.09936 0.00482779499 47.6543765
1322.11538 0.00497398753 47.9134939
1332.13141 0.00580663563 49.2578916
1342.14744 0.00668660532 50.4835139
1352.16346 0.00752479117 51.5092891
1362.17949 0.00815275124 52.2054839
1372.19551 0.00853012995 52.598513
1382.21154 0.0086234971 52.6930685
1392.22756 0.00792616807 51.9606656
1402.24359 0.00781519437 51.8381958
1412.25962 0.00712628671 51.0366659
1422.27564 0.00646191178 50.1866206
1432.29167 0.00566719639 49.0467653
1442.30769 0.00479576495 47.5965579
1452.32372 0.00395903583 45.9311887
1462.33974 0.00331463361 44.3881107
1472.35577 0.00265890834 42.4734674
1482.37179 0.0023447042 41.3811613
1492.38782 0.0022546812 41.041103
1502.40385 0.000626757889 29.9213963
1512.41987 0.00122471565 35.7401054
1522.4359 0.00166767911 38.4216498
1532.45192 0.00208473793 40.3604295
1542.46795 0.00258863407 42.2408133
1552.48397 0.00313004735 43.8904182
1562.5 0.00357446606 45.0436236
1572.51603 0.00394646507 45.9035654
1582.53205 0.00418606251 46.4155143
1592.54808 0.00451464896 47.0718798
1602.5641 0.00560501546 48.9509364
1612.58013 0.00460746593 47.2486427
1622.59615 0.00431727569 46.6835957
1632.61218 0.00398438062 45.9866165
1642.62821 0.00358257049 45.063295
1652.64423 0.00322840607 44.1591632
1662.66026 0.00279282202 42.9002653
1672.67628 0.00250438546 41.9534235
1682.69231 0.00226024413 41.0625071
1692.70833 0.00252024706 42.0082624
1702.72436 0.00126766717 36.039505
1712.74038 0.0021129191 40.4770574
1722.75641 0.00205732367 40.2454526
1732.77244 0.00210007324 40.4240889
1742.78846 0.00218957201 40.7865847
1752.80449 0.00221482664 40.8861948
1762.82051 0.00228362605 41.1518999
1772.83654 0.00237770714 41.5025673
1782.85256 0.00245767806 41.7898999
1792.86859 0.00255433478 42.1249564
1802.88462 0.00254665485 42.0988019
1812.90064 0.00273993466 42.7342042
1822.91667 0.0028220806 42.9907884
1832.93269 0.00284282596 43.0544056
1842.94872 0.00291522019 43.2728273
1852.96474 0.00287867401 43.1632498
1862.98077 0.00283795934 43.0395235
1872.99679 0.00273859716 42.7299632
1883.01282 0.00272656693 42.6917234
1893.02885 0.00253994312 42.0758799
1903.04487 0.00265847653 42.4720567
1913.0609 0.00233213533 41.3344751
1923.07692 0.00233690957 41.3522382
1933.09295 0.00236841461 41.4685547
1943.10897 0.002402028 41.5909614
1953.125 0.00248775341 41.8955467
1963.14103 0.00249950689 41.9364868
1973.15705 0.00253960315 42.0747172
1983.17308 0.00264528458 42.4288481
1993.1891 0.00271125207 42.642798
2003.20513 0.00230148674 41.2195696
2013.22115 0.00228901612 41.1723771
2023.23718 0.00223213282 40.9538008
2033.25321 0.0021933947 40.8017359
2043.26923 0.00211145412 40.4710331
2053.28526 0.00203689511 40.1587734
2063.30128 0.00202562389 40.1105763
2073.31731 0.00199343315 39.9714336
2083.33333 0.00199511462 39.9787571
2093.34936 0.00196404092 39.8424107
2103.36538 0.00194932607 39.7770899
2113.38141 0.0020183733 40.0794299
2123.39744 0.00208608976 40.3660599
2133.41346 0.0020842666 40.3584655
2143.42949 0.00212086581 40.5096639
2153.44551 0.00211372279 40.4803607
2163.46154 0.00214551235 40.6100205
2173.47756 0.00216781083 40.6998277
2183.49359 0.00219308378 40.8005046
