Freq p' spl
0 0.0923210133 73.2854113
10.0160256 0.0920764201 73.2623686
20.0320513 0.0947318166 73.5093174
30.0480769 0.0991449283 73.9048101
40.0641026 0.105069892 74.4089658
50.0801282 0.112557389 75.0068803
60.0961538 0.122174524 75.7190132
70.1121795 0.135193358 76.5985072
80.1282051 0.148604067 77.420014
90.1442308 0.163391742 78.2440021
100.160256 2.99392361 103.504214
110.176282 0.176192463 78.8991466
120.192308 0.207382033 80.3148226
130.208333 0.228119555 81.1426504
140.224359 0.251114109 81.9768224
150.240385 0.273435575 82.7165004
160.25641 0.293623494 83.3352161
170.272436 0.311605054 83.85149
180.288462 0.329504645 84.3366309
190.304487 0.333654646 84.4453436
200.320513 0.344429314 84.7214022
210.336538 0.341099953 84.6370333
220.352564 0.346185112 84.7655678
230.36859 0.32915898 84.3275142
240.384615 0.325099113 84.2197158
250.400641 0.294850799 83.3714463
260.416667 0.289563023 83.2142621
270.432692 0.245901113 81.79461
280.448718 0.234654723 81.3879861
290.464744 0.19591134 79.8205916
300.480769 0.18047206 79.1075996
310.496795 0.14085458 76.9548195
320.512821 0.107168497 74.5807429
330.528846 0.0764310449 71.644796
340.544872 0.0483350091 67.6646362
350.560897 0.0202012482 60.0869642
360.576923 0.0132060109 56.3948331
370.592949 0.0337311797 64.5400307
380.608974 0.0569072412 69.0827507
390.625 0.0757479517 71.566818
400.641026 0.094143661 73.4552217
410.657051 0.109365854 74.7570351
420.673077 0.120472706 75.5971734
430.689103 0.134157292 76.5316858
440.705128 0.139689168 76.8826547
450.721154 0.14746034 77.3529047
460.737179 0.152491548 77.6443155
470.753205 0.156156839 77.8506203
480.769231 0.155337162 77.8049074
490.785256 0.157400122 77.9195014
500.801282 0.152730034 77.657889
510.817308 0.151798017 77.6047221
520.833333 0.145860616 77.258161
530.849359 0.1403988 76.926668
540.865385 0.132214693 76.4049945
550.88141 0.122687875 75.755433
560.897436 0.112846409 75.029155
570.913462 0.101069312 74.0717863
580.929487 0.0884021706 72.9086587
590.945513 0.0776673563 71.7841705
600.961538 0.0563977674 69.0046383
610.977564 0.0478472663 67.5765427
620.99359 0.0359951392 65.1042772
631.009615 0.0267464036 62.5247079
641.025641 0.0240912203 61.6165761
651.041667 0.0279737405 62.9144109
661.057692 0.0356306018 65.0158632
671.073718 0.0438027002 66.8094178
681.089744 0.0515730788 68.2278613
691.105769 0.0570952808 69.1114044
701.121795 0.0822673067 72.2839457
711.137821 0.068923401 70.7467341
721.153846 0.07010032 70.8938001
731.169872 0.0704240687 70.9338223
741.185897 0.0699949828 70.8807383
751.201923 0.068569753 70.7020518
761.217949 0.066248317 70.4028971
771.233974 0.0635067427 70.0357968
781.25 0.0607932453 69.6565066
791.266026 0.0579720185 69.2437685
801.282051 0.0531575403 68.4906976
811.298077 0.0523622901 68.3597727
821.314103 0.0503542098 68.0201158
831.330128 0.0486314562 67.7177456
841.346154 0.0472170785 67.4613823
851.362179 0.0459730619 67.2294687
861.378205 0.0451545068 67.0734222
871.394231 0.0443983808 66.9267427
881.410256 0.0436652842 66.7821259
891.426282 0.042232312 66.4922972
901.442308 0.0410487221 66.2453929
911.458333 0.0400698075 66.0357452
921.474359 0.0391138482 65.826011
931.490385 0.0377796366 65.5245556
941.50641 0.0363487568 65.1891913
951.522436 0.0348135697 64.8143712
961.538462 0.0335114585 64.4832667
971.554487 0.0320558566 64.0975478
981.570513 0.0309044705 63.7798262
991.586538 0.0299059759 63.4945597
1001.60256 0.0273128952 62.7067549
1011.61859 0.0281958579 62.9831063
1021.63462 0.0278239751 62.8677836
1031.65064 0.0277043861 62.8303707
1041.66667 0.0276922975 62.8265799
1051.68269 0.0277777471 62.8533405
1061.69872 0.0277449895 62.8430914
1071.71474 0.0274329065 62.7448365
1081.73077 0.0268308052 62.5520742
1091.74679 0.0256693179 62.1676867
1101.76282 0.0253198039 62.0486069
1111.77885 0.0223967752 60.9831099
1121.79487 0.0196284697 59.8371289
1131.8109 0.016904371 58.5393804
1141.82692 0.0138430265 56.8040211
1151.84295 0.0107759145 54.6284828
1161.85897 0.00807253115 52.1195947
1171.875 0.0061351922 49.7359635
1181.89103 0.00559788498 48.9398795
1191.90705 0.00619282208 49.8171721
1201.92308 0.00863234998 52.7019809
1211.9391 0.00915295273 53.2106245
1221.95513 0.010151662 54.1101431
1231.97115 0.0107044472 54.570685
1241.98718 0.0107705042 54.6241208
1252.00321 0.0105223789 54.4216788
1262.01923 0.00982068895 53.8222392
1272.03526 0.00885511568 52.9232849
1282.05128 0.00765881244 51.6626288
1292.06731 0.00742415806 51.3923443
1302.08333 0.00303335889 43.617876
1312.09936 0.00400111086 46.0230118
1322.11538 0.00402655969 46.0780829
1332.13141 0.00453385371 47.1087502
1342.14744 0.0050991792 48.1294056
1352.16346 0.0056689148 49.0493987
1362.17949 0.00610949306 49.6995036
1372.19551 0.00638378207 50.0809611
1382.21154 0.00644952757 50.1699582
1392.22756 0.0059184849 49.423611
1402.24359 0.00593564169 49.4487536
1412.25962 0.00536424161 48.5695667
1422.27564 0.00489672421 47.777513
1432.29167 0.00430779341 46.6644974
1442.30769 0.00366022834 45.2495637
1452.32372 0.00302077413 43.5817652
1462.33974 0.00252666361 42.0303486
1472.35577 0.00201152396 40.0499043
1482.37179 0.00174231275 38.8019224
1492.38782 0.00159788529 38.050312
1502.40385 0.000283921328 23.0433604
1512.41987 0.000703952362 30.9302655
1522.4359 0.00106101151 34.493802
1532.45192 0.00138696183 36.8206903
1542.46795 0.00177339023 38.9554863
1552.48397 0.00218325146 40.7614753
1562.5 0.00252374714 42.0203169
1572.51603 0.00280023025 42.9232749
1582.53205 0.00299594477 43.5100762
1592.54808 0.00328577258 44.3121501
1602.5641 0.00399684135 46.0137383
1612.58013 0.00331916591 44.3999793
1622.59615 0.00311315519 43.8434155
1632.61218 0.00288023325 43.1679533
1642.62821 0.00260216342 42.2860914
1652.64423 0.00235744244 41.428222
1662.66026 0.00204831988 40.2073557
1672.67628 0.00185524836 39.3474412
1682.69231 0.00168807404 38.5272299
1692.70833 0.0018992352 39.5509751
1702.72436 0.000858785819 32.6570974
1712.74038 0.00152552365 37.647779
1722.75641 0.00148245766 37.3990461
1732.77244 0.00149841933 37.4920674
1742.78846 0.00154903225 37.7806093
1752.80449 0.0015509763 37.7915033
1762.82051 0.00158350749 37.9718025
1772.83654 0.00164181619 38.2858908
1782.85256 0.00168885027 38.531223
1792.86859 0.00173893916 38.7850878
1802.88462 0.00177371109 38.9570577
1812.90064 0.00188942705 39.5060027
1822.91667 0.00196603302 39.8512162
1832.93269 0.00199328005 39.9707665
1842.94872 0.00205555519 40.2379829
1852.96474 0.0020378182 40.1627088
1862.98077 0.00202155094 40.0930939
1872.99679 0.00195740572 39.8130172
1883.01282 0.0019612444 39.8300344
1893.02885 0.00182791525 39.2185212
