# Region type : patch sphere
#      Faces  : 264
#      Area   : 1.243039730e-01
#           Time	areaAverage(p)	areaAverage(U)
         2.5e-06	1.013250003e+05	(-7.652673374e-23 2.412255737e-22 3.992699151e-22)
           5e-06	1.013250010e+05	(3.503593505e-21 1.008156536e-21 8.384668218e-22)
         7.5e-06	1.013250024e+05	(-3.110978089e-21 3.630028978e-21 -7.586128388e-22)
           1e-05	1.013250043e+05	(2.641835939e-21 -1.161210003e-21 -3.832991185e-21)
        1.25e-05	1.013250067e+05	(1.353525012e-20 -1.497262182e-22 -1.197809745e-21)
         1.5e-05	1.013250098e+05	(-7.699254864e-21 1.733496882e-21 -1.463989689e-21)
        1.75e-05	1.013250135e+05	(2.462164477e-21 1.437371695e-21 -7.985398303e-22)
           2e-05	1.013250178e+05	(1.929804590e-21 2.478800723e-21 1.597079661e-21)
        2.25e-05	1.013250227e+05	(1.055403476e-20 6.308464659e-21 -2.448855480e-21)
         2.5e-05	1.013250282e+05	(1.047418077e-20 -1.104646765e-21 1.064719774e-22)
        2.75e-05	1.013250343e+05	(-8.145106269e-21 -4.039280642e-21 3.034451355e-21)
           3e-05	1.013250410e+05	(3.284660502e-20 -8.557685181e-21 2.927979378e-21)
        3.25e-05	1.013250482e+05	(1.940451788e-20 5.516579328e-21 3.832991185e-21)
         3.5e-05	1.013250560e+05	(8.304814235e-21 -4.471823050e-21 5.323598869e-22)
        3.75e-05	1.013250644e+05	(1.389459305e-20 6.195338183e-21 -3.939463163e-21)
           4e-05	1.013250734e+05	(-1.674271844e-20 2.081527158e-20 -1.341546915e-20)
        4.25e-05	1.013250829e+05	(-4.179025112e-21 1.688246291e-20 -3.832991185e-21)
         4.5e-05	1.013250930e+05	(-1.432048096e-20 1.459331540e-20 -1.490607683e-21)
        4.75e-05	1.013251037e+05	(-6.734352569e-21 6.195338183e-21 -2.555327457e-21)
           5e-05	1.013251149e+05	(4.008669948e-20 2.073541759e-20 -1.011483785e-20)
