# Region type : patch sphere
#      Faces  : 40
#      Area   : 6.276727658e-02
#           Time	areaAverage(p)	areaAverage(U)
         2.5e-05	1.013250197e+05	(-1.265139148e-21 0.000000000e+00 1.686852197e-21)
           5e-05	1.013250809e+05	(8.434260985e-22 0.000000000e+00 0.000000000e+00)
         7.5e-05	1.013251823e+05	(-1.012111318e-20 0.000000000e+00 -1.686852197e-21)
          0.0001	1.013253213e+05	(1.012111318e-20 0.000000000e+00 -8.434260985e-21)
        0.000125	1.013254946e+05	(-8.434260985e-21 0.000000000e+00 -2.024222636e-20)
         0.00015	1.013256981e+05	(0.000000000e+00 0.000000000e+00 4.723186152e-20)
        0.000175	1.013259272e+05	(-2.698963515e-20 0.000000000e+00 3.036333955e-20)
          0.0002	1.013261770e+05	(6.747408788e-21 0.000000000e+00 5.060556591e-20)
        0.000225	1.013264421e+05	(-4.048445273e-20 0.000000000e+00 -3.373704394e-21)
         0.00025	1.013267173e+05	(1.282007670e-19 0.000000000e+00 -1.349481758e-20)
        0.000275	1.013269974e+05	(-6.747408788e-21 0.000000000e+00 0.000000000e+00)
          0.0003	1.013272774e+05	(6.072667909e-20 0.000000000e+00 6.747408788e-21)
        0.000325	1.013275529e+05	(-1.349481758e-20 0.000000000e+00 6.747408788e-21)
         0.00035	1.013278199e+05	(-1.282007670e-19 0.000000000e+00 1.147059494e-19)
        0.000375	1.013280749e+05	(2.698963515e-20 0.000000000e+00 1.282007670e-19)
          0.0004	1.013283152e+05	(-2.024222636e-20 0.000000000e+00 -8.771631425e-20)
        0.000425	1.013285390e+05	(-8.096890546e-20 0.000000000e+00 -2.698963515e-20)
         0.00045	1.013287450e+05	(-2.024222636e-19 0.000000000e+00 4.048445273e-20)
        0.000475	1.013289327e+05	(-6.072667909e-20 0.000000000e+00 -5.397927031e-20)
          0.0005	1.013291025e+05	(6.072667909e-20 0.000000000e+00 -6.072667909e-20)
        0.000525	1.013292552e+05	(-3.373704394e-20 0.000000000e+00 4.048445273e-20)
         0.00055	1.013293923e+05	(1.282007670e-19 0.000000000e+00 -1.214533582e-19)
        0.000575	1.013295157e+05	(1.349481758e-20 0.000000000e+00 -2.698963515e-20)
          0.0006	1.013296278e+05	(-4.048445273e-20 0.000000000e+00 4.048445273e-20)
        0.000625	1.013297309e+05	(-6.747408788e-20 0.000000000e+00 6.747408788e-20)
         0.00065	1.013298278e+05	(5.397927031e-20 0.000000000e+00 6.747408788e-20)
        0.000675	1.013299210e+05	(0.000000000e+00 0.000000000e+00 1.349481758e-20)
          0.0007	1.013300131e+05	(1.079585406e-19 0.000000000e+00 -1.349481758e-20)
        0.000725	1.013301061e+05	(2.159170812e-19 0.000000000e+00 0.000000000e+00)
         0.00075	1.013302022e+05	(4.048445273e-20 0.000000000e+00 8.096890546e-20)
        0.000775	1.013303027e+05	(8.096890546e-20 0.000000000e+00 -8.096890546e-20)
          0.0008	1.013304087e+05	(4.048445273e-20 0.000000000e+00 2.833911691e-19)
        0.000825	1.013305209e+05	(1.349481758e-19 0.000000000e+00 6.747408788e-20)
         0.00085	1.013306394e+05	(-3.103808043e-19 0.000000000e+00 9.446372304e-20)
        0.000875	1.013307640e+05	(-9.446372304e-20 0.000000000e+00 -9.446372304e-20)
