Freq p' spl
0 0.270809055 82.6326637
10.0160256 0.271555493 82.6565719
20.0320513 0.276438804 82.8113802
30.0480769 0.284505654 83.0612181
40.0641026 0.295644273 83.3947895
50.0801282 0.309866106 83.8028816
60.0961538 0.327189757 84.2753941
70.1121795 0.348211118 84.8162527
80.1282051 0.380415106 85.5845552
90.1442308 0.453967219 87.11989
100.160256 8.39832917 112.463258
110.176282 0.347016873 84.7864119
120.192308 0.368555587 85.3094601
130.208333 0.396229139 85.9383283
140.224359 0.413651812 86.3120987
150.240385 0.428057987 86.6094522
160.25641 0.439143215 86.8315236
170.272436 0.445200465 86.9505123
180.288462 0.454107237 87.1225685
190.304487 0.450526284 87.0538027
200.320513 0.432985679 86.7088707
210.336538 0.444453531 86.9359273
220.352564 0.44175178 86.8829662
230.36859 0.431712404 86.6832906
240.384615 0.423851891 86.5236826
250.400641 0.410906599 86.2542624
260.416667 0.400557246 86.0326919
270.432692 0.384109615 85.6685037
280.448718 0.374267714 85.4430474
290.464744 0.357422508 85.043038
300.480769 0.356353795 85.0170278
310.496795 0.332671239 84.4197052
320.512821 0.31817357 84.0326821
330.528846 0.305372927 83.6760107
340.544872 0.294418467 83.358701
350.560897 0.281462585 82.9678135
360.576923 0.272802189 82.6963571
370.592949 0.263385555 82.3912391
380.608974 0.253318509 82.0527386
390.625 0.249521304 81.9215527
400.641026 0.235450016 81.4173746
410.657051 0.237793609 81.5034037
420.673077 0.23092673 81.2488842
430.689103 0.230272104 81.2242267
440.705128 0.225975379 81.0606226
450.721154 0.225378636 81.037655
460.737179 0.225221881 81.0316117
470.753205 0.224445994 81.0016373
480.769231 0.223682449 80.9720383
490.785256 0.226977581 81.0990593
500.801282 0.259249473 82.2537577
510.817308 0.233812423 81.3567517
520.833333 0.232183278 81.2960189
530.849359 0.23520734 81.4084175
540.865385 0.236848145 81.4687998
550.88141 0.237684905 81.4994321
560.897436 0.239953953 81.5819583
570.913462 0.241197256 81.6268474
580.929487 0.241318193 81.6312014
590.945513 0.243076739 81.6942681
600.961538 0.245942269 81.7960636
610.977564 0.245731964 81.7886331
620.99359 0.244075081 81.7298689
631.009615 0.243323748 81.70309
641.025641 0.242838058 81.6857351
651.041667 0.240568236 81.6041658
661.057692 0.239361013 81.5604684
671.073718 0.2363058 81.4488877
681.089744 0.233118963 81.3309521
691.105769 0.225939894 81.0592585
701.121795 0.290236085 83.2344282
711.137821 0.235528574 81.4202721
721.153846 0.229495072 81.1948674
731.169872 0.225645905 81.0479492
741.185897 0.222407452 80.9223868
751.201923 0.219457275 80.8063997
761.217949 0.217010441 80.7090127
771.233974 0.2145995 80.6119742
781.25 0.212433691 80.523868
791.266026 0.211448158 80.4834782
801.282051 0.210318801 80.436962
811.298077 0.208885332 80.377559
821.314103 0.207102988 80.3031274
831.330128 0.205827178 80.2494545
841.346154 0.203869241 80.1664342
851.362179 0.202130273 80.0920274
