Freq p' spl
0 0.109789987 74.7906548
10.0160256 0.110188462 74.8221225
20.0320513 0.111820237 74.9498082
30.0480769 0.114538892 75.1584597
40.0641026 0.118338267 75.4419042
50.0801282 0.123269246 75.7964949
60.0961538 0.129399915 76.2180799
70.1121795 0.137063584 76.7178418
80.1282051 0.149470422 77.4705053
90.1442308 0.179153197 79.0438914
100.160256 3.34011764 104.454635
110.176282 0.127277496 76.0744325
120.192308 0.136837743 76.7035181
130.208333 0.147545099 77.3578959
140.224359 0.153922872 77.7254633
150.240385 0.158841277 77.9986675
160.25641 0.162620658 78.2029144
170.272436 0.164157543 78.2846169
180.288462 0.16701364 78.4344389
190.304487 0.164822767 78.3197441
200.320513 0.154517081 77.75893
210.336538 0.160626144 78.0957248
220.352564 0.158986652 78.0066134
230.36859 0.154090998 77.7349454
240.384615 0.15033665 77.5206974
250.400641 0.144323611 77.1661478
260.416667 0.139588565 76.876397
270.432692 0.132216805 76.4051332
280.448718 0.127647417 76.0996407
290.464744 0.120258041 75.5816826
300.480769 0.119373111 75.5175303
310.496795 0.109271732 74.7495566
320.512821 0.102975194 74.2340525
330.528846 0.0974972029 73.7592432
340.544872 0.0928559381 73.3355937
350.560897 0.0875934951 72.8288372
360.576923 0.0841634986 72.4818757
370.592949 0.0806464531 72.1111055
380.608974 0.0771485225 71.7259524
390.625 0.0761698702 71.6150644
400.641026 0.0717458497 71.0953358
410.657051 0.0734450434 71.2986499
420.673077 0.0718349561 71.1061167
430.689103 0.0730406406 71.2506916
440.705128 0.0725786147 71.1955736
450.721154 0.0740209699 71.3664955
460.737179 0.0752814284 71.5131571
470.753205 0.0764527564 71.647263
480.769231 0.077713081 71.7892826
490.785256 0.080398388 72.0843469
500.801282 0.092362001 73.2892668
510.817308 0.0853633497 72.6048291
520.833333 0.085614725 72.6303694
530.849359 0.0880866344 72.8776004
540.865385 0.089469739 73.0129235
550.88141 0.0907077517 73.1322881
560.897436 0.0923642293 73.2894763
570.913462 0.0934685684 73.3927119
580.929487 0.0941564076 73.4563977
590.945513 0.0953791738 73.5684712
600.961538 0.0966951013 73.6874895
610.977564 0.0972659665 73.7386182
620.99359 0.0968979333 73.7056904
631.009615 0.0969418746 73.7096284
641.025641 0.0969533021 73.7106522
651.041667 0.0962647856 73.648749
661.057692 0.0959253423 73.6180672
671.073718 0.0948235731 73.5177264
681.089744 0.0936293238 73.4076378
691.105769 0.090847535 73.145663
701.121795 0.116026412 75.2705373
711.137821 0.0943820167 73.4771851
721.153846 0.0919095709 73.2466149
731.169872 0.090219829 73.0854401
741.185897 0.0887167398 72.9395116
751.201923 0.0872845346 72.7981461
761.217949 0.0859840682 72.6677599
771.233974 0.0846787085 72.5348846
781.25 0.0834222415 72.4050372
791.266026 0.0826169243 72.3207805
801.282051 0.0815526341 72.2081599
811.298077 0.0805469181 72.1003787
821.314103 0.0793555923 71.9709508
831.330128 0.0783565067 71.8609014
841.346154 0.077077578 71.7179613
851.362179 0.075891932 71.5833123
861.378205 0.0745099586 71.4236865
871.394231 0.0730717564 71.254391
881.410256 0.0716845637 71.087913
891.426282 0.0720511109 71.1322137
901.442308 0.0467602698 67.3769402
911.458333 0.0609286259 69.6758278
921.474359 0.059139747 69.4169893
931.490385 0.0567685712 69.0615594
941.50641 0.0538999106 68.611161
951.522436 0.0509779568 68.1270486
961.538462 0.0478159485 67.5708556
971.554487 0.044496897 66.9459946
981.570513 0.0414051776 66.3204931
991.586538 0.0377887324 65.5266466
1001.60256 0.0389695797 65.7939145
1011.61859 0.0341378769 64.6441303
1021.63462 0.032185463 64.1325953
1031.65064 0.0313820334 63.9130217
1041.66667 0.0313603133 63.907008
1051.68269 0.0320391661 64.0930242
1061.69872 0.0335268385 64.4872521
1071.71474 0.0355562749 64.9977252
1081.73077 0.038070234 65.591111
1091.74679 0.0386118075 65.7138027
1101.76282 0.0524223391 68.369728
1111.77885 0.0499726941 67.9540554
1121.79487 0.0528650117 68.4427667
1131.8109 0.0561380098 68.9645403
1141.82692 0.0592433733 69.4321957
1151.84295 0.0624825985 69.8945817
1161.85897 0.0655664677 70.3130358
1171.875 0.0687243563 70.7216137
1181.89103 0.0717122174 71.0912631
1191.90705 0.0734157413 71.2951839
1201.92308 0.0836367926 72.4273475
1211.9391 0.0791889072 71.9526871
1221.95513 0.0820632487 72.2623742
1231.97115 0.0838690487 72.4514344
1241.98718 0.0856946243 72.6384717
1252.00321 0.0874275878 72.81237
1262.01923 0.0887006504 72.9379362
1272.03526 0.089853796 73.0501287
1282.05128 0.091274626 73.1864013
1292.06731 0.0952314815 73.5550109
1302.08333 0.0715344435 71.0697041
1312.09936 0.0833916893 72.4018555
1322.11538 0.0834971799 72.4128362
1332.13141 0.0822763403 72.2848994
1342.14744 0.0803470099 72.0787945
1352.16346 0.0780189433 71.8234014
1362.17949 0.0752731789 71.5122052
1372.19551 0.0722955762 71.1616346
1382.21154 0.0690875745 70.767399
1392.22756 0.0665994673 70.4488152
1402.24359 0.0573987758 69.1574527
1412.25962 0.0560491697 68.9507838
1422.27564 0.053407407 68.5314299
1432.29167 0.050048754 67.9672655
1442.30769 0.0465670922 67.3409825
1452.32372 0.0433465159 66.718484
1462.33974 0.0402960192 66.084643
1472.35577 0.0375320138 65.4674374
1482.37179 0.0354378306 64.9687426
1492.38782 0.032653637 64.2580313
1502.40385 0.0287804287 63.1613453
1512.41987 0.0297199847 63.4403717
1522.4359 0.0284460493 63.0598393
1532.45192 0.0271287696 62.648002
1542.46795 0.0259213756 62.252561
1552.48397 0.0248540424 61.8873408
1562.5 0.0238811761 61.5405143
1572.51603 0.0227211156 61.1079931
1582.53205 0.0220316074 60.8403238
1592.54808 0.020421438 60.1811265
1602.5641 0.0208702686 60.3699609
1612.58013 0.0174486255 58.8146245
1622.59615 0.0164732438 58.3149826
1632.61218 0.0150760161 57.545132
1642.62821 0.013635862 56.673052
1652.64423 0.0120325771 55.5865732
1662.66026 0.0107111174 54.5760956
1672.67628 0.00905611788 53.1182414
1682.69231 0.0080198622 52.0627382
1692.70833 0.00774002336 51.7542455
1702.72436 0.00397440525 45.964843
1712.74038 0.00347223914 44.7915927
1722.75641 0.00450256118 47.0485925
1732.77244 0.00515447022 48.2230808
1742.78846 0.00658528822 50.3508958
1752.80449 0.00801765072 52.0603427
1762.82051 0.00977609021 53.7827041
1772.83654 0.0113542213 55.0825472
1782.85256 0.013049699 56.29141
1792.86859 0.0147005838 57.3260917
1802.88462 0.019295726 59.6886226
1812.90064 0.0178776948 59.0256305
1822.91667 0.0189673865 59.53955
1832.93269 0.0199343027 59.971421
1842.94872 0.0206090244 60.2605487
1852.96474 0.0213549966 60.5693902
1862.98077 0.0214864878 60.6227087
1872.99679 0.0216268625 60.6792705
1883.01282 0.021165635 60.4920261
1893.02885 0.020288789 60.1245226
1903.04487 0.0227053988 61.1019828
1913.0609 0.0201379316 60.0596973
1923.07692 0.017047233 58.612478
1933.09295 0.015539092 57.8079128
1943.10897 0.0130227052 56.2734243
1953.125 0.0105739765 54.4641669
1963.14103 0.00818141344 52.2359669
1973.15705 0.00607051258 49.6439074
1983.17308 0.00568375862 49.0721126
1993.1891 0.00610376247 49.6913526
2003.20513 0.0110023968 54.8091462
2013.22115 0.0142717499 57.0689446
2023.23718 0.017959047 59.0650658
2033.25321 0.0218026301 60.7495778
2043.26923 0.0256025946 62.1450797
2053.28526 0.0296489941 63.4195993
2063.30128 0.0332683046 64.4200135
2073.31731 0.0371245161 65.3726161
2083.33333 0.0403831735 66.103409
2093.34936 0.0432530194 66.6997287
2103.36538 0.0427860693 66.6054479
2113.38141 0.0492426335 67.8262255
2123.39744 0.0506544718 68.0717559
2133.41346 0.0531016492 68.4815603
2143.42949 0.0546732159 68.7348925
2153.44551 0.0560052762 68.943979
2163.46154 0.0569189142 69.0845322
2173.47756 0.0576884489 69.2011773
2183.49359 0.0578404501 69.2240334
2193.50962 0.0577319989 69.207732
2203.52564 0.0581577939 69.2715586
2213.54167 0.0576608648 69.1970231
2223.55769 0.0568269878 69.0704928
2233.57372 0.0559601651 68.9369798
2243.58974 0.0548355865 68.7606499
2253.60577 0.0536623384 68.572792
2263.62179 0.0522190011 68.3359713
2273.63782 0.0506170478 68.0653363
2283.65385 0.0488970405 67.7650516
2293.66987 0.0475942679 67.5304931
2303.6859 0.0496687971 67.9010729
2313.70192 0.0444254972 66.932046
2323.71795 0.0425250035 66.5522873
2333.73397 0.0402113752 66.0663786
2343.75 0.0381275459 65.6041771
2353.76603 0.0358938918 65.0798111
2363.78205 0.0336336031 64.514868
2373.79808 0.031262747 63.8799428
2383.8141 0.0295157972 63.3804905
2393.83013 0.0276715937 62.8200835
2403.84615 0.0232571067 61.3105138
2413.86218 0.020975081 60.413473
2423.87821 0.0187590613 59.4436221
2433.89423 0.0165001117 58.3291378
2443.91026 0.0141488177 56.9938031
2453.92628 0.0118336126 55.441747
2463.94231 0.00958441415 53.6107115
2473.95833 0.00733510922 51.2875318
2483.97436 0.00526529012 48.4078462
2493.99038 0.00310609888 43.8237056
2504.00641 0.00117723287 35.3966476
2514.02244 0.000958525428 33.6114729
2524.03846 0.00275672713 42.7872757
2534.05449 0.00456736963 47.1727233
2544.07051 0.00623821706 49.8806097
2554.08654 0.00790899412 51.9418251
2564.10256 0.00935150344 53.3970288
2574.11859 0.010808156 54.6544322
2584.13462 0.0129401183 56.218165
2594.15064 0.0141933634 57.0211065
2604.16667 0.0144072697 57.1510338
2614.18269 0.0154687235 57.7684896
2624.19872 0.0165940715 58.3784592
2634.21474 0.0175994546 58.8893843
2644.23077 0.0185812591 59.3609029
2654.24679 0.0193320226 59.704946
2664.26282 0.0200515875 60.0223753
2674.27885 0.0206359652 60.2718958
2684.29487 0.0211360597 60.4798806
2694.3109 0.0219051318 60.7903175
2704.32692 0.0234664409 61.3883446
2714.34295 0.0225704307 61.050197
2724.35897 0.0228185329 61.1451544
2734.375 0.022942133 61.1920759
2744.39103 0.0229667003 61.2013721
2754.40705 0.0229596941 61.198722
2764.42308 0.0228778143 61.1676907
2774.4391 0.0227800232 61.1304833
2784.45513 0.0221309428 60.8793984
2794.47115 0.0222251862 60.9163083
2804.48718 0.0215980055 60.667673
2814.50321 0.021336118 60.5617082
2824.51923 0.0207135448 60.3044886
2834.53526 0.0201886618 60.0815507
2844.55128 0.0195305475 59.7936885
2854.56731 0.018942577 59.5281813
2864.58333 0.0182333077 59.1967093
2874.59936 0.0176089873 58.8940877
2884.61538 0.017136269 58.6577255
2894.63141 0.0163956643 58.2739804
2904.64744 0.0153741265 57.7152091
2914.66346 0.0148923441 57.4386613
2924.67949 0.0140386616 56.9259142
2934.69551 0.0135660596 56.6284745
2944.71154 0.013088945 56.3174929
2954.72756 0.0126506932 56.0216866
2964.74359 0.0122959692 55.7746554
2974.75962 0.0118666837 55.4659874
