Freq p' spl
0 0.0624037831 69.8836185
10.0160256 0.0625991808 69.9107731
20.0320513 0.0633016644 70.0077027
30.0480769 0.0644823559 70.168218
40.0641026 0.0661525942 70.3903377
50.0801282 0.0683555415 70.6748747
60.0961538 0.0711488202 71.0227541
70.1121795 0.0747332974 71.449683
80.1282051 0.0807834921 72.1258525
90.1442308 0.0956441998 73.5925728
100.160256 1.6616191 98.3900296
110.176282 0.0658435753 70.3496682
120.192308 0.0717102316 71.0910226
130.208333 0.0771153528 71.7222171
140.224359 0.0802328606 72.0664456
150.240385 0.0824861082 72.3070164
160.25641 0.0842550376 72.4913176
170.272436 0.0847957927 72.5468862
180.288462 0.0860526295 72.674683
190.304487 0.0847596269 72.5431808
200.320513 0.0787892593 71.9087404
210.336538 0.082200677 72.276908
220.352564 0.0812051465 72.1710712
230.36859 0.0785376128 71.880954
240.384615 0.0764709781 71.649333
250.400641 0.0732775016 71.2788132
260.416667 0.0707350665 70.9720954
270.432692 0.0669139166 70.4897291
280.448718 0.0645032354 70.1710301
290.464744 0.0607367593 69.6484324
300.480769 0.0602211783 69.5743851
310.496795 0.0552250471 68.822122
320.512821 0.0521628916 68.3266333
330.528846 0.0495823918 67.8859496
340.544872 0.0474949224 67.5123437
350.560897 0.045148632 67.072292
360.576923 0.04386834 66.8224241
370.592949 0.0424833952 66.5437844
380.608974 0.0413508209 66.3090828
390.625 0.0413185432 66.3023001
400.641026 0.0398452596 65.9869333
410.657051 0.0411354534 66.2637259
420.673077 0.0408873772 66.2111852
430.689103 0.042051298 66.4549882
440.705128 0.0422723796 66.500534
450.721154 0.0434758974 66.7443712
460.737179 0.0444658388 66.9399299
470.753205 0.0453921119 67.1190079
480.769231 0.0463200481 67.2947801
490.785256 0.0478947434 67.5851571
500.801282 0.0538408161 68.6016328
510.817308 0.0506936453 68.0784705
520.833333 0.0509179714 68.1168219
530.849359 0.052225858 68.3371118
540.865385 0.052947725 68.4563462
550.88141 0.0535613625 68.5564324
560.897436 0.0543541938 68.6840613
570.913462 0.0548419636 68.76166
580.929487 0.0550863009 68.8002723
590.945513 0.0555795639 68.8777028
600.961538 0.0560900446 68.9571158
