Freq p' spl
0 0.0471338008 67.4460493
10.0160256 0.0471755366 67.4537371
20.0320513 0.0486689099 67.7244325
30.0480769 0.0511532199 68.1568596
40.0641026 0.054486669 68.7052053
50.0801282 0.0586593803 69.3461495
60.0961538 0.0635743889 70.045044
70.1121795 0.0692636515 70.7895077
80.1282051 0.0769563977 71.7042947
90.1442308 0.0936524265 73.4097808
100.160256 1.65185465 98.3388367
110.176282 0.0785900988 71.8867568
120.192308 0.0843789225 72.5040796
130.208333 0.0923369159 73.2869074
140.224359 0.0983187817 73.8321299
150.240385 0.104056504 74.3247847
160.25641 0.109097566 74.7357013
170.272436 0.113248943 75.0600832
180.288462 0.118049857 75.4207094
190.304487 0.120162255 75.5747615
200.320513 0.122894004 75.7700139
210.336538 0.124382017 75.874552
220.352564 0.12627465 76.0057235
230.36859 0.125984608 75.9857498
240.384615 0.126359745 76.0115749
250.400641 0.124703228 75.896954
260.416667 0.12385188 75.8374522
270.432692 0.120666446 75.6111306
280.448718 0.119239998 75.5078393
290.464744 0.11494685 75.1893416
300.480769 0.118898465 75.482925
310.496795 0.109675786 74.7816152
320.512821 0.105063333 74.4084236
330.528846 0.101529173 74.1112171
340.544872 0.0976260084 73.7707107
350.560897 0.0931137856 73.3596798
360.576923 0.0898810093 73.0527589
370.592949 0.0863051304 72.7001323
380.608974 0.0818638216 72.2412404
390.625 0.0790816802 71.9409178
400.641026 0.0802947722 72.0731455
410.657051 0.074125558 71.3787596
420.673077 0.0707303657 70.9715182
430.689103 0.069543134 70.8244853
440.705128 0.0667854515 70.4730374
450.721154 0.0647279513 70.2012373
460.737179 0.0640423936 70.1087512
470.753205 0.0626724269 69.9209303
480.769231 0.0609096165 69.6731174
490.785256 0.0610181315 69.6885782
500.801282 0.0637742722 70.0723103
510.817308 0.0608743261 69.6680834
520.833333 0.0602657807 69.5808158
530.849359 0.0605799813 69.6259828
540.865385 0.0605100048 69.6159438
550.88141 0.0606338871 69.6337083
560.897436 0.0609462113 69.6783344
570.913462 0.0610766916 69.6969102
580.929487 0.0612510486 69.7216707
590.945513 0.0623061845 69.8700232
600.961538 0.0568651182 69.076319
610.977564 0.060090057 69.5554524
620.99359 0.0597412725 69.5048895
631.009615 0.0591370461 69.4165926
641.025641 0.0586950697 69.3514325
651.041667 0.0577152063 69.2052051
661.057692 0.0566850673 69.0487734
671.073718 0.0553469834 68.8412792
681.089744 0.0541287599 68.6479616
691.105769 0.0524397306 68.3726091
701.121795 0.060362821 69.5947906
711.137821 0.05017255 67.9887236
721.153846 0.0478363118 67.5745538
731.169872 0.0456439205 67.1670589
741.185897 0.0433927985 66.7277533
751.201923 0.0410921076 66.2545684
761.217949 0.0385976152 65.7106095
771.233974 0.0360272244 65.1120162
781.25 0.0337159838 64.5361168
791.266026 0.0314831012 63.9409502
801.282051 0.0267154135 62.5146381
811.298077 0.0265115697 62.4481089
821.314103 0.0249525204 61.9216885
831.330128 0.023460053 61.3859799
841.346154 0.0222641785 60.9315336
851.362179 0.0212913908 60.5434807
861.378205 0.0206926872 60.2957379
871.394231 0.0202750979 60.1186593
881.410256 0.0201034819 60.0448258
891.426282 0.019661176 59.8515899
901.442308 0.018701069 59.4167287
911.458333 0.0187237419 59.427253
921.474359 0.018577351 59.3590758
931.490385 0.0181378777 59.1511295
941.50641 0.0175266369 58.8533719
951.522436 0.0167427685 58.4559455
961.538462 0.0158838716 57.9985274
971.554487 0.0148504254 57.414178
981.570513 0.0138095053 56.7829625
991.586538 0.0128614195 56.1651782
1001.60256 0.00927232166 53.3231699
1011.61859 0.00992177902 53.9111911
1021.63462 0.00902975794 53.0929222
1031.65064 0.00831292309 52.3744753
1041.66667 0.00787288592 51.9020793
1051.68269 0.00765705421 51.6606345
1061.69872 0.0076644324 51.669
1071.71474 0.00770696722 51.7170703
1081.73077 0.00780985378 51.8322581
1091.74679 0.00782926596 51.853821
1101.76282 0.00713634291 51.0489143
1111.77885 0.00775268548 51.7684434
1121.79487 0.00740409193 51.3688361
1131.8109 0.00714395502 51.0581743
1141.82692 0.00679430375 50.6222993
1151.84295 0.00654548856 50.2982415
1161.85897 0.00623467461 49.8756759
1171.875 0.00599584372 49.5364062
1181.89103 0.00575997178 49.1878072
1191.90705 0.00568415087 49.072712
