Freq p' spl
0 0.364566809 85.2149426
10.0160256 0.363470708 85.1887884
20.0320513 0.371588051 85.3806349
30.0480769 0.384720593 85.6823088
40.0641026 0.40239478 86.0724469
50.0801282 0.424186986 86.5305469
60.0961538 0.449855872 87.040868
70.1121795 0.479840665 87.6013411
80.1282051 0.517525888 88.2580417
90.1442308 0.593673762 89.4503572
100.160256 11.1605093 114.93308
110.176282 0.543179288 88.6782641
120.192308 0.571422053 89.11854
130.208333 0.602916318 89.5845408
140.224359 0.631010836 89.9801364
150.240385 0.65917604 90.3594283
160.25641 0.683215778 90.6705578
170.272436 0.708263183 90.9832934
180.288462 0.730348316 91.2500007
190.304487 0.751770208 91.5011023
200.320513 0.780008266 91.8213842
210.336538 0.791189901 91.9450148
220.352564 0.806753158 92.1142136
230.36859 0.823330527 92.2908844
240.384615 0.836289639 92.4265344
250.400641 0.849232707 92.5599343
260.416667 0.858950587 92.6587637
270.432692 0.868233139 92.7521272
280.448718 0.874957461 92.8191389
290.464744 0.880045099 92.8694987
300.480769 0.883614361 92.9046554
310.496795 0.88486852 92.916975
320.512821 0.88444106 92.912778
330.528846 0.882512038 92.8938128
340.544872 0.878499048 92.854226
350.560897 0.872705305 92.7967524
360.576923 0.865692163 92.7266698
370.592949 0.856199589 92.6309004
380.608974 0.846049905 92.5273197
390.625 0.833453641 92.3970291
400.641026 0.819984103 92.2555087
410.657051 0.804675894 92.0918199
420.673077 0.788082736 91.9108364
430.689103 0.770387624 91.713586
440.705128 0.751123866 91.4936313
450.721154 0.731041486 91.2582406
460.737179 0.709621824 90.9999394
470.753205 0.68726251 90.7218532
480.769231 0.663915107 90.4216511
490.785256 0.63999257 90.1028987
500.801282 0.615274794 89.7607826
510.817308 0.589488769 89.3889108
520.833333 0.562908302 88.9881532
530.849359 0.536275385 88.5671574
540.865385 0.50890123 88.1120701
550.88141 0.481167846 87.625332
560.897436 0.453204667 87.1052876
570.913462 0.424886406 86.5448568
580.929487 0.396354178 85.9410689
590.945513 0.367831498 85.2923784
600.961538 0.339991616 84.6087642
610.977564 0.310811417 83.8293394
620.99359 0.282211989 82.9909093
631.009615 0.253805664 82.0694263
641.025641 0.225700051 81.0500332
651.041667 0.197750251 79.901741
661.057692 0.170220655 78.5996452
671.073718 0.143003499 77.0863334
681.089744 0.116217 75.2847933
691.105769 0.0897554937 73.0406209
701.121795 0.0673692185 70.5486303
711.137821 0.0396607204 65.9466121
721.153846 0.0150577275 57.5345887
731.169872 0.0088135116 52.8823797
741.185897 0.0318884523 64.0520689
751.201923 0.0542053032 68.6602356
761.217949 0.0757110323 71.5625834
771.233974 0.0963767994 73.6588501
781.25 0.116173023 75.2815059
791.266026 0.135045619 76.5890101
801.282051 0.152519172 77.6458889
811.298077 0.169855431 78.5809889
821.314103 0.185868717 79.3635261
831.330128 0.200837888 80.036313
841.346154 0.214799851 80.6200796
851.362179 0.227695914 81.1265048
861.378205 0.239543575 81.5670906
871.394231 0.250304006 81.9487561
881.410256 0.259966698 82.2777544
891.426282 0.268399434 82.555032
901.442308 0.277469218 82.8436963
911.458333 0.282839896 83.0102135
921.474359 0.288103655 83.1703754
931.490385 0.29232471 83.2967107
941.50641 0.295476739 83.389866
951.522436 0.297562732 83.4509708
961.538462 0.298574389 83.4804511
971.554487 0.298552038 83.4798009
981.570513 0.297498309 83.4490901
991.586538 0.295389581 83.3873035
1001.60256 0.291807649 83.2813335
1011.61859 0.288372879 83.1784883
1021.63462 0.283358834 83.0261352
1031.65064 0.277492089 82.8444122
1041.66667 0.270734041 82.6302574
1051.68269 0.263159879 82.3837937
1061.69872 0.254760608 82.1020456
1071.71474 0.245606785 81.7842073
1081.73077 0.235764641 81.4289735
1091.74679 0.225063216 81.0254905
1101.76282 0.214623312 80.6129379
1111.77885 0.202516308 80.1086001
1121.79487 0.190238135 79.5653517
1131.8109 0.177533465 78.9650047
1141.82692 0.16439762 78.2973106
1151.84295 0.150919041 77.5542808
1161.85897 0.137136285 76.7224477
1171.875 0.12310655 75.7850233
1181.89103 0.108894283 74.7195017
1191.90705 0.0944770959 73.4859308
1201.92308 0.0802368624 72.0668788
1211.9391 0.0655046864 70.3048475
1221.95513 0.0510800745 68.1444305
1231.97115 0.0366819401 65.268446
1241.98718 0.0224373156 60.998818
1252.00321 0.00846879289 52.5358303
1262.01923 0.00595043607 49.470376
1272.03526 0.0193367238 59.707058
1282.05128 0.0325793277 64.2382424
1292.06731 0.0453571926 67.1123234
1302.08333 0.0591438425 69.4175908
1312.09936 0.0705434233 70.9485307
1322.11538 0.0820936621 72.2655927
1332.13141 0.0931972042 73.3674578
1342.14744 0.103752758 74.2993931
1352.16346 0.113718432 75.0960174
1362.17949 0.123069443 75.7824048
1372.19551 0.131766147 76.375477
1382.21154 0.139775948 76.888049
1392.22756 0.146950991 77.3228505
1402.24359 0.154376947 77.7510491
1412.25962 0.159855228 78.053937
1422.27564 0.164922035 78.3249738
1432.29167 0.169289997 78.5520261
1442.30769 0.172937794 78.7371984
1452.32372 0.175817391 78.8806367
1462.33974 0.177950781 78.9853981
1472.35577 0.179335653 79.0527329
1482.37179 0.179968736 79.0833414
1492.38782 0.179928146 79.0813822
1502.40385 0.179182368 79.0453055
1512.41987 0.177606223 78.9685636
1522.4359 0.175428098 78.8613832
1532.45192 0.172600104 78.7202211
1542.46795 0.169141524 78.5444049
1552.48397 0.165070823 78.3328064
1562.5 0.160412915 78.0841867
1572.51603 0.155198554 77.7971535
1582.53205 0.149440524 77.4687677
1592.54808 0.143218461 77.0993802
1602.5641 0.136546504 76.6850118
1612.58013 0.129408848 76.2186795
1622.59615 0.121866257 75.6970695
1632.61218 0.113963147 75.1146887
1642.62821 0.105740179 74.4642009
1652.64423 0.09722518 73.7349752
1662.66026 0.0884506469 72.9134204
1672.67628 0.0794603819 71.9824131
1682.69231 0.070283269 70.9164392
1692.70833 0.0608787059 69.6687083
1702.72436 0.0515195259 68.2188372
1712.74038 0.0420573941 66.4562473
1722.75641 0.0325389636 64.2274744
1732.77244 0.0230134445 61.2190326
1742.78846 0.0135359832 56.6091962
1752.80449 0.00419248928 46.4288393
1762.82051 0.00530180192 48.46787
1772.83654 0.0144339719 57.1671172
1782.85256 0.0234143824 61.3690542
1792.86859 0.0322284328 64.1441838
1802.88462 0.0406759683 66.1661581
1812.90064 0.0490918251 67.7995837
1822.91667 0.0571495676 69.1196591
1832.93269 0.0648858477 70.2223997
1842.94872 0.0723010482 71.162292
