Freq p' spl
0 0.176179812 78.8985229
10.0160256 0.177248581 78.9510554
20.0320513 0.181838427 79.1731134
30.0480769 0.189237909 79.5195629
40.0641026 0.199141764 79.9626471
50.0801282 0.211272653 80.4762658
60.0961538 0.225510078 81.0427192
70.1121795 0.242138446 81.6606751
80.1282051 0.263095802 82.3816784
90.1442308 0.303166426 83.6130222
100.160256 5.44134904 108.693532
110.176282 0.269458179 82.5892275
120.192308 0.289092204 83.2001277
130.208333 0.306817328 83.7169978
140.224359 0.322446204 84.1485454
150.240385 0.337292515 84.5395342
160.25641 0.350521173 84.8736852
170.272436 0.363445951 85.1881968
180.288462 0.37511384 85.4626618
190.304487 0.386162519 85.7148025
200.320513 0.399108951 86.0012294
210.336538 0.405774574 86.1450967
220.352564 0.413706259 86.3132419
230.36859 0.421429332 86.4738953
240.384615 0.427683602 86.6018521
250.400641 0.433418597 86.7175509
260.416667 0.437803232 86.8049794
270.432692 0.441572041 86.8794314
280.448718 0.444150984 86.9300127
290.464744 0.445839656 86.962974
300.480769 0.446407343 86.9740267
310.496795 0.446325443 86.972433
320.512821 0.445182498 86.9501617
330.528846 0.443165223 86.9107135
340.544872 0.440224065 86.8528757
350.560897 0.436392897 86.7769535
360.576923 0.431859521 86.6862501
370.592949 0.426334755 86.5744148
380.608974 0.420255646 86.4496712
390.625 0.413269436 86.3040658
400.641026 0.405658246 86.1426063
410.657051 0.397392338 85.9637899
420.673077 0.38849813 85.7671787
430.689103 0.37904016 85.5531046
440.705128 0.369001293 85.3199578
450.721154 0.358505702 85.0693214
460.737179 0.347503769 84.7985905
470.753205 0.336089041 84.5084871
480.769231 0.324250062 84.1970014
490.785256 0.312173437 83.867319
500.801282 0.299763663 83.5149798
510.817308 0.286956663 83.1357264
520.833333 0.273872787 82.7303777
530.849359 0.260702524 82.3023048
540.865385 0.247297897 81.8438086
550.88141 0.233743606 81.3541949
560.897436 0.220112446 80.8322921
570.913462 0.206359326 80.2718821
580.929487 0.19253705 79.6696864
590.945513 0.178724398 79.0230769
600.961538 0.165243742 78.3419005
610.977564 0.15115451 77.5678223
620.99359 0.137376199 76.73763
631.009615 0.123666981 75.8244753
641.025641 0.110094739 74.8147314
651.041667 0.0966023568 73.6791545
661.057692 0.0832792459 72.3901358
671.073718 0.0701071168 70.8946422
681.089744 0.0571159541 69.1145488
691.105769 0.0442988861 66.9072562
701.121795 0.0325758215 64.2373076
711.137821 0.0196775382 59.8588154
721.153846 0.0077259774 51.7384687
731.169872 0.00442179451 46.8913712
741.185897 0.0156340519 57.8608311
751.201923 0.0266750817 62.5015152
761.217949 0.0373745731 65.4309249
771.233974 0.0477036921 67.5504399
781.25 0.0576418071 69.1941518
791.266026 0.0671673914 70.5225697
801.282051 0.0760310867 71.599224
811.298077 0.0848401802 72.5514317
821.314103 0.0930212381 73.3510424
831.330128 0.100708466 74.0407197
841.346154 0.107902681 74.6400448
851.362179 0.114581162 75.1616646
861.378205 0.120739 75.6163516
871.394231 0.126356366 76.0113427
881.410256 0.131427029 76.3530939
891.426282 0.135906263 76.6441895
901.442308 0.140274474 76.918973
911.458333 0.143407703 77.1108497
921.474359 0.146224514 77.2798038
931.490385 0.148486214 77.4131228
941.50641 0.150181061 77.5117035
951.522436 0.151311593 77.5768442
961.538462 0.151876677 77.6092218
971.554487 0.15188838 77.6098911
981.570513 0.151350133 77.5790562
991.586538 0.150261776 77.5163704
1001.60256 0.148513273 77.4147055
1011.61859 0.146562463 77.2998552
1021.63462 0.143929378 77.1423891
1031.65064 0.140831287 76.9533831
1041.66667 0.137265647 76.7306373
1051.68269 0.133265062 76.4737262
1061.69872 0.128836866 76.1802031
1071.71474 0.124013328 75.8487673
1081.73077 0.118826584 75.4776723
1091.74679 0.113251324 75.0602658
1101.76282 0.107560522 74.6124581
1111.77885 0.101320742 74.0933673
1121.79487 0.0949105274 73.5256878
1131.8109 0.0882782113 72.8964706
1141.82692 0.0814418265 72.1963502
1151.84295 0.0744417902 71.4157363
1161.85897 0.067304151 70.5402371
1171.875 0.0600595115 69.551036
1181.89103 0.0527405548 68.422294
1191.90705 0.0453770245 67.1161204
1201.92308 0.0379432319 65.5620865
1211.9391 0.0305615059 63.6828951
1221.95513 0.0232523761 61.3087469
1231.97115 0.0160102917 58.067385
1241.98718 0.0089339146 53.000236
1252.00321 0.00267592052 42.5288643
1262.01923 0.00576332906 49.1928684
1272.03526 0.0123054205 55.7813293
1282.05128 0.0188240537 59.4736631
1292.06731 0.0251244433 61.981329
1302.08333 0.0316152707 63.9773382
1312.09936 0.0373121176 65.416398
1322.11538 0.0429256783 66.6337434
1332.13141 0.0482825547 67.6552049
1342.14744 0.0533500132 68.5220907
1352.16346 0.0581085314 69.2641981
1362.17949 0.0625492541 69.9038428
1372.19551 0.0666591022 70.4565893
1382.21154 0.0704250215 70.9339399
1392.22756 0.0737961612 71.3400755
1402.24359 0.0771673782 71.728075
1412.25962 0.0797341328 72.0122856
1422.27564 0.0820661192 72.262678
1432.29167 0.0840563752 72.4708132
1442.30769 0.0857000117 72.6390177
1452.32372 0.0869825604 72.7680438
1462.33974 0.087911852 72.8603487
1472.35577 0.0884899053 72.9172747
1482.37179 0.0887230931 72.9401336
1492.38782 0.0886261471 72.9306375
1502.40385 0.0882120545 72.8899588
1512.41987 0.0874279522 72.8124062
1522.4359 0.0863499099 72.7046379
1532.45192 0.0849706595 72.5647799
1542.46795 0.0832971884 72.3920069
1552.48397 0.0813388112 72.1853565
1562.5 0.0791080991 71.9438191
1572.51603 0.0766129855 71.6654478
1582.53205 0.0738698279 71.3487418
1592.54808 0.0708898582 70.9910822
1602.5641 0.0677338851 70.5955198
1612.58013 0.0642944052 70.1428637
1622.59615 0.0606911265 69.6419041
1632.61218 0.0569062021 69.0825921
1642.62821 0.0529600615 68.4583697
1652.64423 0.0488637869 67.7591425
1662.66026 0.0446338343 66.972684
1672.67628 0.0402868317 66.0826624
1682.69231 0.0358398943 65.0667345
1692.70833 0.0312797388 63.8846624
1702.72436 0.0267187673 62.5157284
1712.74038 0.0220502036 60.8476522
1722.75641 0.0173693057 58.7750493
1732.77244 0.0126661866 56.0323177
1742.78846 0.00796293024 52.0008583
1752.80449 0.00327840522 44.2926527
1762.82051 0.0013882646 36.8288451
1772.83654 0.00598787369 49.5248527
1782.85256 0.0105190477 54.4189286
1792.86859 0.014971531 57.4847244
1802.88462 0.0193279958 59.7031365
1812.90064 0.0235812815 61.4307481
1822.91667 0.0277080862 62.8315307
1832.93269 0.0316864074 63.9968601
1842.94872 0.0355129001 64.9871229
1852.96474 0.0391715115 65.8388067
1862.98077 0.0426506441 66.577912
1872.99679 0.045938223 67.2228839
1883.01282 0.0490284215 67.7883583
1893.02885 0.0518988558 68.2825557
1903.04487 0.0545614161 68.7171128
1913.0609 0.0569714425 69.0925444
1923.07692 0.0591768307 69.4224341
1933.09295 0.0611195827 69.7030077
1943.10897 0.0628193216 69.9412649
1953.125 0.0642610137 70.1383515
1963.14103 0.0654454283 70.2969864
1973.15705 0.0663684282 70.4186307
1983.17308 0.0670237429 70.5039736
1993.1891 0.0674116831 70.5541035
2003.20513 0.0675576705 70.5728934
2013.22115 0.06741465 70.5544858
2023.23718 0.0670138552 70.5026921
2033.25321 0.0663581295 70.4172828
2043.26923 0.0654464557 70.2971227
2053.28526 0.0642921528 70.1425595
2063.30128 0.0628875407 69.9506923
2073.31731 0.0612598872 69.7229239
2083.33333 0.0593949708 69.4543936
2093.34936 0.0573247914 69.1462497
2103.36538 0.0550517402 68.7948211
2113.38141 0.0525871582 68.3969941
2123.39744 0.0499341524 67.9473537
2133.41346 0.0471195501 67.4434228
2143.42949 0.0441479864 66.8776181
2153.44551 0.0410379504 66.2431133
2163.46154 0.0378041768 65.5301958
2173.47756 0.0344586092 64.725355
2183.49359 0.0310162972 63.8111991
2193.50962 0.0275172676 62.7715062
2203.52564 0.0238849692 61.5418938
2213.54167 0.0202750662 60.1186457
2223.55769 0.016616118 58.3899914
2233.57372 0.0129412317 56.2189123
2243.58974 0.00927025299 53.3212318
2253.60577 0.00562962855 48.9889949
2263.62179 0.00211637948 40.4912709
2273.63782 0.00190516628 39.5780578
2283.65385 0.00529019699 48.448837
2293.66987 0.00871489006 52.7846383
2303.6859 0.0121008121 55.6356905
2313.70192 0.0153750704 57.7157423
2323.71795 0.0185420499 59.342555
2333.73397 0.0215821964 60.6613129
2343.75 0.0244935856 61.7604474
2353.76603 0.0272591505 62.6896464
2363.78205 0.0298736847 63.4851759
2373.79808 0.0323270815 64.17073
2383.8141 0.0346073217 64.7627599
2393.83013 0.0367256392 65.2787874
2403.84615 0.038598951 65.7109101
2413.86218 0.0403594407 66.0983029
2423.87821 0.041914135 66.4266102
2433.89423 0.0432654082 66.7022162
2443.91026 0.0444197507 66.9309224
2453.92628 0.0453760031 67.1159249
2463.94231 0.0461301716 67.2591015
2473.95833 0.0466873229 67.3633795
2483.97436 0.0470408365 67.4289008
2493.99038 0.047193289 67.457005
2504.00641 0.0471684958 67.4524406
2514.02244 0.0469282311 67.4080838
2524.03846 0.0465026632 67.3289566
2534.05449 0.0458881448 67.2134101
2544.07051 0.045092064 67.0614024
2554.08654 0.0441168452 66.8714891
2564.10256 0.0429686323 66.6424307
2574.11859 0.0416547101 66.3726824
2584.13462 0.0401760371 66.058742
2594.15064 0.0385396313 65.6975512
2604.16667 0.0367815235 65.2919944
2614.18269 0.034863839 64.8269042
2624.19872 0.0328127706 64.3002581
2634.21474 0.0306476708 63.7073496
2644.23077 0.0283658371 63.0353122
2654.24679 0.0259827578 62.273105
2664.26282 0.0235034287 61.4020245
2674.27885 0.0209419246 60.3997319
2684.29487 0.018309334 59.232851
2694.3109 0.0156117271 57.8484191
2704.32692 0.0128375002 56.1490094
2714.34295 0.0100482687 54.0212249
2724.35897 0.00721870845 51.1485901
2734.375 0.0043735703 46.7961223
2744.39103 0.00153216639 37.6855187
2754.40705 0.00138049767 36.7801136
2764.42308 0.00420497711 46.4546728
2774.4391 0.0070198855 50.9060007
2784.45513 0.00979936178 53.8033559
2794.47115 0.012530637 55.938863
2804.48718 0.0151939534 57.6128159
2814.50321 0.0178074096 58.9914151
2824.51923 0.0203307405 60.142464
2834.53526 0.0227633833 61.1241363
2844.55128 0.0250935731 61.9706502
2854.56731 0.0273116754 62.7063669
2864.58333 0.0294073653 63.3485224
2874.59936 0.0313727234 63.9104445
2884.61538 0.0332018728 64.4026517
2894.63141 0.0348790817 64.8307009
2904.64744 0.0363981456 65.2009852
2914.66346 0.0377556721 65.5190442
2924.67949 0.0389426003 65.787899
2934.69551 0.0399566911 66.0111904
2944.71154 0.0407916407 66.1908236
2954.72756 0.04143988 66.3277699
2964.74359 0.04190186 66.4240661
2974.75962 0.0421701423 66.4795014
2984.77564 0.0422479404 66.4955109
2994.79167 0.0421335506 66.4719613
3004.80769 0.0418268219 66.4084974
3014.82372 0.041320827 66.3027802
3024.83974 0.0406251727 66.1553045
3034.85577 0.0397398276 65.9639197
3044.87179 0.038670102 65.7269064
3054.88782 0.0374173061 65.4408504
3064.90385 0.0359897462 65.1029758
3074.91987 0.0343928157 64.7087547
3084.9359 0.032629507 64.2516103
3094.95192 0.0307174833 63.7271127
3104.96795 0.0286485131 63.1214418
3114.98397 0.0264545746 62.4294157
3125 0.0241376518 61.6333004
3135.01603 0.0217074151 60.7115623
3145.03205 0.0191863853 59.6392633
3155.04808 0.0165943204 58.3785895
3165.0641 0.0139621044 56.8784177
3175.08013 0.0113431174 55.0740487
3185.09615 0.00883624946 52.9047594
3195.11218 0.00667309532 50.4659467
3205.12821 0.0053535365 48.5522154
3215.14423 0.00564084737 49.0062871
3225.16026 0.00735595553 51.312182
3235.17628 0.00978149818 53.7875077
3245.19231 0.0125027547 55.9195143
3255.20833 0.0153474408 57.7001194
3265.22436 0.0182341815 59.1971256
3275.24038 0.0211192522 60.4729708
3285.25641 0.0239748912 61.574533
3295.27244 0.0267780682 62.534985
3305.28846 0.0295160663 63.3805696
3315.30449 0.0321640444 64.1268132
3325.32051 0.0347200015 64.7909948
3335.33654 0.0371650616 65.3820972
3345.35256 0.039490259 65.9091997
3355.36859 0.0416840746 66.3788034
3365.38462 0.0437378153 66.7965418
3375.40064 0.0456408844 67.1664811
3385.41667 0.0473877746 67.4927264
3395.43269 0.0489657606 67.7772502
3405.44872 0.0503834407 68.0251565
3415.46474 0.0516101418 68.2341011
3425.48077 0.0526549313 68.4081811
3435.49679 0.0535114165 68.548329
3445.51282 0.0541741754 68.6552463
3455.52885 0.0546402903 68.7296601
3465.54487 0.0549077609 68.7720748
3475.5609 0.0549709568 68.782066
3485.57692 0.0548321057 68.7600986
3495.59295 0.0544887534 68.7055375
3505.60897 0.0539421061 68.6179581
3515.625 0.0531949963 68.4968157
3525.64103 0.0522408283 68.3396012
3535.65705 0.0510869846 68.1456055
3545.67308 0.0497374309 67.9130671
3555.6891 0.0481942444 67.6393036
3565.70513 0.0464628436 67.3215158
3575.72115 0.044547841 66.9559333
3585.73718 0.0424583367 66.5386596
3595.75321 0.0402029535 66.0645593
3605.76923 0.0377796672 65.5245627
3615.78526 0.0352201688 64.9152287
3625.80128 0.032530176 64.2251283
3635.81731 0.0297270249 63.442429
3645.83333 0.0268405067 62.5552143
3655.84936 0.0239062964 61.5496461
3665.86538 0.0209793431 60.4152378
3675.88141 0.0181478252 59.1558919
3685.89744 0.0155571456 57.8179984
3695.91346 0.0134441941 56.5500956
3705.92949 0.0121664904 55.6827064
3715.94551 0.0120798038 55.6205977
3725.96154 0.0132792839 56.4428932
3735.97756 0.0155140255 57.7938901
3745.99359 0.018442156 59.2956339
3756.00962 0.0217994054 60.748293
3766.02564 0.0254234028 62.0840736
3776.04167 0.0292105834 63.2902047
3786.05769 0.0330959675 64.3749017
3796.07372 0.0370348616 65.3516146
3806.08974 0.0409923622 66.233459
3816.10577 0.044939783 67.0320195
3826.12179 0.0488555496 67.7576781
3836.13782 0.0527196975 68.4188583
3846.15385 0.0565138277 69.0224946
3856.16987 0.0602201981 69.5742437
3866.1859 0.06382332 70.0789879
3876.20192 0.0673084469 70.5407915
3886.21795 0.0706599068 70.9628613
3896.23397 0.0738677338 71.3484956
3906.25 0.0769101815 71.6990768
3916.26603 0.0797827922 72.0175847
