Freq p' spl
0 0.116316549 75.2922303
10.0160256 0.117251288 75.3617525
20.0320513 0.120444371 75.5951302
30.0480769 0.12558494 75.9581513
40.0641026 0.132451909 76.4205645
50.0801282 0.140844296 76.9541854
60.0961538 0.150680165 77.5405218
70.1121795 0.162164527 78.1785173
80.1282051 0.17666164 78.9222452
90.1442308 0.203959242 80.1702679
100.160256 3.61101698 105.131991
110.176282 0.179399255 79.0558128
120.192308 0.193732603 79.7234544
130.208333 0.20602418 80.257764
140.224359 0.216813183 80.7011138
150.240385 0.22689661 81.0959602
160.25641 0.235992993 81.4373823
170.272436 0.244703443 81.7522017
180.288462 0.252629129 82.0290686
190.304487 0.260058756 82.2808297
200.320513 0.268437226 82.5562549
210.336538 0.273105717 82.7060159
220.352564 0.278419916 82.873406
230.36859 0.283431093 83.0283499
240.384615 0.287538784 83.1533287
250.400641 0.291183206 83.2627265
260.416667 0.293987185 83.3459681
270.432692 0.296284402 83.4135758
280.448718 0.297819041 83.4584493
290.464744 0.298729634 83.4849662
300.480769 0.29887427 83.4891707
310.496795 0.298597386 83.4811201
320.512821 0.29760162 83.4521059
330.528846 0.29600859 83.4054864
340.544872 0.293813763 83.3408428
350.560897 0.291031503 83.2582001
360.576923 0.287760418 83.1600212
370.592949 0.283879579 83.0420831
380.608974 0.279585994 82.9097083
390.625 0.274747716 82.7580819
400.641026 0.269462171 82.5893562
410.657051 0.263790505 82.4045833
420.673077 0.257707318 82.2019351
430.689103 0.251246009 81.9813835
440.705128 0.244441544 81.7429005
450.721154 0.237324385 81.4862474
460.737179 0.229905072 81.2103711
470.753205 0.222225458 80.9152763
480.769231 0.214279193 80.5990001
490.785256 0.206186754 80.2646153
500.801282 0.197876126 79.9072681
510.817308 0.189354306 79.5249038
520.833333 0.180664824 79.1168721
530.849359 0.171907666 78.685305
540.865385 0.163023981 78.22443
550.88141 0.154049912 77.7326292
560.897436 0.145033804 77.2087848
570.913462 0.135950225 76.6469987
580.929487 0.126830518 76.0438754
590.945513 0.117719549 75.3963719
600.961538 0.10882921 74.7143096
610.977564 0.0995484645 73.9400914
620.99359 0.0904801271 73.1104641
631.009615 0.0814536477 72.1976108
641.025641 0.0725163645 71.1881206
651.041667 0.0636341466 70.0532046
661.057692 0.0548570657 68.7640516
671.073718 0.046180763 67.2686222
681.089744 0.0376192322 65.4875986
691.105769 0.0291777208 63.2804274
701.121795 0.0212679255 60.5339027
711.137821 0.0128992419 56.1906838
721.153846 0.00507658944 48.0908409
731.169872 0.0032691448 44.2680832
741.185897 0.0105766065 54.466327
751.201923 0.0178806836 59.0270824
761.217949 0.0249797481 61.9311612
771.233974 0.0318452047 64.040281
781.25 0.0384599614 65.679577
791.266026 0.0448103967 67.0069759
801.282051 0.0507267537 68.0841415
811.298077 0.0566108767 69.0373977
821.314103 0.06208203 69.8387183
831.330128 0.0672294733 70.5305943
841.346154 0.0720500363 71.1320842
851.362179 0.0765297391 71.6560047
861.378205 0.080662437 72.1128269
871.394231 0.0844348711 72.509837
881.410256 0.0878428588 72.8535293
891.426282 0.0908615675 73.1470046
901.442308 0.0937076716 73.414903
911.458333 0.0958692621 73.6129878
921.474359 0.0977611425 73.7827255
931.490385 0.0992746753 73.9161696
941.50641 0.100402996 74.0143335
951.522436 0.101148045 74.0785499
961.538462 0.101509863 74.1095649
971.554487 0.101494935 74.1082874
981.570513 0.101105728 74.0749153
991.586538 0.100345951 74.0093972
1001.60256 0.0991613555 73.9062492
1011.61859 0.0977820667 73.7845843
1021.63462 0.0959731614 73.6223961
1031.65064 0.0938458721 73.4277036
1041.66667 0.0914027514 73.1985855
1051.68269 0.0886645802 72.9344033
1061.69872 0.0856387879 72.6328103
1071.71474 0.0823464737 72.2923002
1081.73077 0.0788089618 71.9109122
1091.74679 0.075022692 71.483253
1101.76282 0.0711059451 71.0175183
1111.77885 0.066887704 70.4863259
1121.79487 0.0625381103 69.9022952
1131.8109 0.0580401741 69.2539742
1141.82692 0.0534101309 68.5318729
1151.84295 0.0486742173 67.7253796
1161.85897 0.043851391 66.8190676
1171.875 0.0389624112 65.7923166
1181.89103 0.0340296092 64.6165393
1191.90705 0.0290815577 63.2517534
1201.92308 0.0240536286 61.6030121
1211.9391 0.0191289215 59.6132098
1221.95513 0.0142379852 57.0483708
1231.97115 0.00941159625 53.4526658
1241.98718 0.00475162016 47.5162344
1252.00321 0.0016434153 38.2943466
1262.01923 0.00513531051 48.1907343
1272.03526 0.00950767587 53.5408874
1282.05128 0.0138302608 56.7960075
1292.06731 0.0180034111 59.0864961
1302.08333 0.0222201864 60.914354
1312.09936 0.0260053986 62.2806704
1322.11538 0.0296939767 63.4327674
1332.13141 0.0332019836 64.4026807
1342.14744 0.0365112064 65.2279238
1352.16346 0.039609591 65.9354072
1362.17949 0.0424919614 66.5455357
1372.19551 0.045151055 67.0727581
1382.21154 0.0475792202 67.5277465
1392.22756 0.0497468323 67.9147087
1402.24359 0.0518883791 68.2808022
1412.25962 0.0535249436 68.5505244
1422.27564 0.0550002267 68.7866897
1432.29167 0.0562477399 68.9815016
1442.30769 0.0572661567 69.1373608
1452.32372 0.0580478906 69.2551289
1462.33974 0.0585978334 69.3370313
1472.35577 0.0589180626 69.3843692
1482.37179 0.0590147415 69.3986103
1492.38782 0.0588924594 69.3805939
1502.40385 0.0585647071 69.3321196
1512.41987 0.0580024868 69.2483324
1522.4359 0.0572453843 69.1342096
1532.45192 0.0562922866 68.9883779
1542.46795 0.055147982 68.8099926
1552.48397 0.0538187599 68.5980738
1562.5 0.0523130183 68.3515956
1572.51603 0.050634618 68.0683508
1582.53205 0.0487964088 67.7471573
1592.54808 0.0468018375 67.3846582
1602.5641 0.0446941289 66.9844096
1612.58013 0.0423965814 66.5260169
1622.59615 0.0399950342 66.0195215
1632.61218 0.0374735441 65.4538955
1642.62821 0.0348453111 64.822287
1652.64423 0.0321173559 64.1141958
1662.66026 0.0293005459 63.3169143
1672.67628 0.0264053754 62.413247
1682.69231 0.0234433011 61.3797754
1692.70833 0.0204073579 60.1751357
1702.72436 0.0173674169 58.7741047
1712.74038 0.0142477592 57.0543314
1722.75641 0.0111225677 54.9035013
1732.77244 0.00798239115 52.0220602
1742.78846 0.004840863 47.6778559
1752.80449 0.00172142506 38.6971625
1762.82051 0.00144665557 37.1867029
1772.83654 0.00451408604 47.0707967
1782.85256 0.00754877008 51.536924
1792.86859 0.0105322761 54.4298448
1802.88462 0.0134702186 56.566893
1812.90064 0.0163164725 58.2319256
1822.91667 0.0190879411 59.5945818
1832.93269 0.0217612979 60.733096
1842.94872 0.024332707 61.7032086
1852.96474 0.0267922488 62.5395834
1862.98077 0.0291300883 63.2662361
1872.99679 0.031339109 63.901133
1883.01282 0.0334132218 64.4577672
1893.02885 0.0353383143 64.9443167
1903.04487 0.0371340559 65.3748478
1913.0609 0.0387388731 65.7423397
1923.07692 0.0402082402 66.0657014
1933.09295 0.0415011836 66.3406097
1943.10897 0.0426265378 66.5730013
1953.125 0.0435761596 66.7643791
1963.14103 0.044349489 66.9171725
1973.15705 0.0449440656 67.0328472
1983.17308 0.0453556438 67.1120268
1993.1891 0.0455863442 67.1560954
2003.20513 0.0456466054 67.1675698
2013.22115 0.0455145839 67.1424116
2023.23718 0.0452059469 67.0833115
2033.25321 0.0447242135 66.9902543
2043.26923 0.0440688647 66.8620373
2053.28526 0.0432487808 66.6988775
2063.30128 0.042260387 66.4980695
2073.31731 0.0411206967 66.2606094
2083.33333 0.039823213 65.982126
2093.34936 0.038388913 65.6635164
2103.36538 0.036812622 65.2993351
2113.38141 0.0351125346 64.8886437
2123.39744 0.0332879901 64.4251516
2133.41346 0.0313563071 63.9058983
2143.42949 0.0293213042 63.3230657
2153.44551 0.0271958734 62.6694603
2163.46154 0.0249897469 61.9346372
2173.47756 0.0227115544 61.1043373
2183.49359 0.0203728587 60.1604396
2193.50962 0.0179961448 59.0829897
2203.52564 0.0155372807 57.8069003
2213.54167 0.0130962679 56.3223511
2223.55769 0.0106237498 54.5049568
2233.57372 0.00814468141 52.1968821
2243.58974 0.00566910682 49.0496929
2253.60577 0.00320813645 44.1044567
2263.62179 0.000776613273 31.7834963
2273.63782 0.00163957814 38.2740425
2283.65385 0.00399367372 46.0068517
2293.66987 0.00629687809 49.9619058
2303.6859 0.00854487898 52.6135184
2313.70192 0.0107214949 54.5845069
2323.71795 0.0128181657 56.1359177
2333.73397 0.0148254482 57.3995567
2343.75 0.016741939 58.4555152
2353.76603 0.0185574331 59.3497582
2363.78205 0.0202688902 60.1159995
2373.79808 0.0218698469 60.776315
2383.8141 0.0233531503 61.3463096
2393.83013 0.0247254583 61.8422871
2403.84615 0.0259383597 62.2582503
2413.86218 0.0270687315 62.6287582
2423.87821 0.0280614084 62.9415894
2433.89423 0.0289203117 63.2034595
2443.91026 0.0296477024 63.4192209
2453.92628 0.0302439547 63.5921717
2463.94231 0.0307065236 63.7240131
2473.95833 0.0310389861 63.8175506
2483.97436 0.031238363 63.8731654
2493.99038 0.0313037512 63.8913277
2504.00641 0.0312556631 63.8779744
2514.02244 0.031065772 63.8250431
2524.03846 0.0307538393 63.7373869
2534.05449 0.030319301 63.6137838
2544.07051 0.0297664044 63.4539277
2554.08654 0.0290966553 63.2562615
2564.10256 0.0283143504 63.0195321
2574.11859 0.0274239332 62.7419949
2584.13462 0.0264274159 62.4204941
2594.15064 0.02532799 62.0514146
2604.16667 0.0241442596 61.6356779
2614.18269 0.0228622862 61.1617932
2624.19872 0.0214923371 60.6250729
2634.21474 0.0200471813 60.0204665
2644.23077 0.0185260347 59.3350495
2654.24679 0.0169384428 58.5568697
2664.26282 0.0152879721 57.6663977
2674.27885 0.0135838644 56.6398669
2684.29487 0.0118337126 55.4418204
2694.3109 0.0100421901 54.0159689
2704.32692 0.00820863035 52.2648141
2714.34295 0.0063641026 50.0541435
2724.35897 0.00451165104 47.0661101
2734.375 0.00269754106 42.5987614
2744.39103 0.00119403711 35.5197566
2754.40705 0.00169013805 38.5378437
2764.42308 0.00339455106 44.595047
2774.4391 0.00521937094 48.3317634
2784.45513 0.00705125096 50.9447235
2794.47115 0.00886261047 52.9306333
2804.48718 0.0106340952 54.513411
2814.50321 0.0123750296 55.830325
2824.51923 0.0140580361 56.9378932
2834.53526 0.0156807047 57.8867116
2844.55128 0.01723535 58.7078023
2854.56731 0.0187146717 59.4230443
2864.58333 0.0201114145 60.0482524
2874.59936 0.0214198367 60.5957232
2884.61538 0.022635204 61.0750883
2894.63141 0.0237471122 61.4916162
2904.64744 0.0247531687 61.8520161
2914.66346 0.0256468566 62.160083
2924.67949 0.0264243074 62.4194724
2934.69551 0.0270825094 62.6331781
2944.71154 0.0276178123 62.8031856
2954.72756 0.0280246804 62.9302135
2964.74359 0.028303382 63.0161667
2974.75962 0.028448987 63.0607362
2984.77564 0.0284627803 63.0649465
2994.79167 0.0283450709 63.028951
3004.80769 0.0280925778 62.9512319
3014.82372 0.0277046715 62.8304602
3024.83974 0.0271856404 62.6661914
3034.85577 0.0265358522 62.4560609
3044.87179 0.0257588757 62.1979382
3054.88782 0.0248557096 61.8879234
3064.90385 0.0238321386 61.5226604
3074.91987 0.0226919046 61.0968191
3084.9359 0.0214370254 60.6026905
3094.95192 0.0200794489 60.0344359
3104.96795 0.018613924 59.3761588
3114.98397 0.0170597921 58.6188748
3125 0.0154188784 57.7404558
3135.01603 0.0136982959 56.712731
3145.03205 0.0119098023 55.4974912
3155.04808 0.0100641679 54.0349575
3165.0641 0.00817744737 52.2317552
3175.08013 0.00627788311 49.9356646
3185.09615 0.00442456439 46.8968105
3195.11218 0.00281682214 42.9745886
3205.12821 0.00219402382 40.8042268
3215.14423 0.00326163396 44.2481045
3225.16026 0.0050457826 48.0379708
3235.17628 0.00701883499 50.9047007
3245.19231 0.00904859472 53.1110228
3255.20833 0.0110902607 54.8782352
3265.22436 0.0131197083 56.3378837
3275.24038 0.015122267 57.5717381
3285.25641 0.0170869448 58.6326884
3295.27244 0.0190018049 59.5552972
