Freq p' spl
0 0.034471935 64.7287133
10.0160256 0.0348111031 64.8137558
20.0320513 0.0358273826 65.0637017
30.0480769 0.0374601627 65.4507933
40.0641026 0.0396353054 65.9410443
50.0801282 0.0422855716 66.5032442
60.0961538 0.0453855152 67.1177455
70.1121795 0.0490035021 67.7839425
80.1282051 0.0535835773 68.5600342
90.1442308 0.0620491006 69.8341099
100.160256 1.08001189 94.6479708
110.176282 0.0537499206 68.5869566
120.192308 0.0585740832 69.3335101
130.208333 0.0624676864 69.8925085
140.224359 0.0658627884 70.3522024
150.240385 0.0689689962 70.7524782
160.25641 0.0718160738 71.1038333
170.272436 0.074470009 71.4190282
180.288462 0.07691204 71.6992867
190.304487 0.0791662088 71.950197
200.320513 0.0815779715 72.2108581
210.336538 0.083071074 72.3683966
220.352564 0.0846772563 72.5347356
230.36859 0.0861232356 72.6818068
240.384615 0.0873302445 72.8026936
250.400641 0.0883489737 72.9034303
260.416667 0.089141245 72.980974
270.432692 0.0897399541 73.0391169
280.448718 0.0901255671 73.0763603
290.464744 0.0903081882 73.0939427
300.480769 0.0902682649 73.090102
310.496795 0.0900829667 73.0722537
320.512821 0.0896863493 73.033927
330.528846 0.0891081252 72.9777462
340.544872 0.0883523808 72.9037652
350.560897 0.0874248286 72.8120959
360.576923 0.086341823 72.7038244
370.592949 0.085096838 72.5776685
380.608974 0.083711547 72.4351074
390.625 0.0821857416 72.2753296
400.641026 0.0805158439 72.0970271
410.657051 0.0787489192 71.9042921
420.673077 0.0768628236 71.6937268
430.689103 0.0748623216 71.4646659
440.705128 0.0727771282 71.2192984
450.721154 0.0705950161 70.9548809
460.737179 0.0683368578 70.6725002
470.753205 0.0660071561 70.3712205
480.769231 0.0636042332 70.0491205
490.785256 0.0611624973 69.7091043
500.801282 0.0586538778 69.3453347
510.817308 0.0561102461 68.9602436
520.833333 0.0535203606 68.5497807
530.849359 0.0509063339 68.1148365
540.865385 0.0482661728 67.6522574
550.88141 0.0456030551 67.1592789
560.897436 0.0429308119 66.6347821
570.913462 0.0402439156 66.0734047
580.929487 0.0375501816 65.4716409
590.945513 0.0348596942 64.8258715
600.961538 0.0322350873 64.1459771
610.977564 0.0294989226 63.3755232
620.99359 0.0268282539 62.5512482
631.009615 0.0241681576 61.644271
641.025641 0.0215332954 60.6416101
651.041667 0.018915246 59.51564
661.057692 0.0163249561 58.2364405
671.073718 0.0137642968 56.7544806
681.089744 0.0112349402 54.9908154
691.105769 0.00874223291 52.8118475
701.121795 0.00632687993 50.0031919
711.137821 0.00390442503 45.8105418
721.153846 0.00159815139 38.0517584
731.169872 0.000971832724 33.7312305
741.185897 0.00310998089 43.8345545
751.201923 0.0052861837 48.4422451
761.217949 0.00740936868 51.3750242
771.233974 0.00946801366 53.5045776
781.25 0.0114558372 55.1599367
791.266026 0.0133691843 56.5014983
801.282051 0.015155435 57.5907682
811.298077 0.016934624 58.5549113
821.314103 0.0185924414 59.3661285
831.330128 0.020155809 60.0674048
841.346154 0.0216222482 60.677417
851.362179 0.0229879581 61.209408
861.378205 0.0242499034 61.6736003
871.394231 0.0254040735 62.0774673
881.410256 0.0264492067 62.4276531
891.426282 0.0273799886 62.7280654
901.442308 0.0282169812 62.9896111
911.458333 0.0289079215 63.1997374
921.474359 0.0294933604 63.3738852
931.490385 0.0299618008 63.5107583
941.50641 0.0303116976 63.6116053
951.522436 0.030543683 63.6778282
961.538462 0.0306580891 63.7103017
971.554487 0.0306562006 63.7097667
981.570513 0.0305387071 63.676413
991.586538 0.0303085705 63.6107091
1001.60256 0.0299566737 63.5092719
1011.61859 0.029521515 63.3821729
