Freq p' spl
0 0.346309099 84.7686781
10.0160256 0.343981938 84.7101129
20.0320513 0.352942024 84.9334675
30.0480769 0.368031592 85.2971021
40.0641026 0.388489092 85.7669767
50.0801282 0.414884101 86.3379359
60.0961538 0.4490807 87.0258879
70.1121795 0.495966615 87.888449
80.1282051 0.54189031 88.6576278
90.1442308 0.60303578 89.5862617
100.160256 12.2677771 115.754718
110.176282 0.680650815 90.6378875
120.192308 0.786332864 91.8915286
130.208333 0.869108009 92.7608751
140.224359 0.962434507 93.6468238
150.240385 1.05787283 94.4680694
160.25641 1.1454501 95.1589236
170.272436 1.22554355 95.7459751
180.288462 1.30937574 96.3206859
190.304487 1.33594936 96.4952
200.320513 1.41201382 96.9761791
210.336538 1.39053192 96.8430193
220.352564 1.42514178 97.0565615
230.36859 1.3637275 96.673952
240.384615 1.35740705 96.6336021
250.400641 1.24136024 95.8573567
260.416667 1.22567779 95.7469264
270.432692 1.05251646 94.423978
280.448718 1.00567795 94.0285786
290.464744 0.85068072 92.5747319
300.480769 0.783718337 91.8626003
310.496795 0.619625765 89.8219894
320.512821 0.479774592 87.600145
330.528846 0.350919291 84.883545
340.544872 0.230863408 81.2465021
350.560897 0.116308876 75.2916573
360.576923 0.058581612 69.3346264
370.592949 0.126575719 76.0264082
380.608974 0.216761258 80.6990333
390.625 0.296262506 83.4129339
400.641026 0.363757295 85.1956343
410.657051 0.4294642 86.6379394
420.673077 0.473607233 87.4877666
430.689103 0.526874116 88.4135373
440.705128 0.547716646 88.7505189
450.721154 0.575772952 89.1844253
460.737179 0.594761278 89.4662538
470.753205 0.608489671 89.6644643
480.769231 0.604626836 89.6091485
490.785256 0.613133001 89.7304939
500.801282 0.596251278 89.4879865
510.817308 0.595700189 89.4799548
520.833333 0.574930648 89.1717093
530.849359 0.558558291 88.9207701
540.865385 0.529069649 88.449657
550.88141 0.496580355 87.8991908
560.897436 0.46170042 87.2666055
570.913462 0.418311133 86.4093885
580.929487 0.37137992 85.3757684
590.945513 0.33148012 84.3885498
600.961538 0.240310376 81.5948505
610.977564 0.209648592 80.4092391
620.99359 0.157569944 77.9288677
631.009615 0.109873711 74.7972759
641.025641 0.0805986161 72.1059518
651.041667 0.0811619689 72.1664516
661.057692 0.107828179 74.6340455
671.073718 0.14113714 76.9722263
681.089744 0.172671616 78.7238192
691.105769 0.194321116 79.7498
701.121795 0.295282375 83.3841506
711.137821 0.243130247 81.6961799
721.153846 0.246666384 81.8215994
731.169872 0.246346353 81.8103228
741.185897 0.242692764 81.6805367
