Freq p' spl
0 0.0374676955 65.4525397
10.0160256 0.0373895616 65.4344075
20.0320513 0.0384930746 65.6870521
30.0480769 0.0403227387 66.0904005
40.0641026 0.0427751276 66.6032264
50.0801282 0.0458639167 67.2088229
60.0961538 0.0498199992 67.9274744
70.1121795 0.055152936 68.8107728
80.1282051 0.0607109829 69.6447454
90.1442308 0.0667616014 70.469935
100.160256 1.19953053 95.5596262
110.176282 0.0711480089 71.0226551
120.192308 0.0839715019 72.4620385
130.208333 0.0923187615 73.2851995
140.224359 0.101502792 74.1089598
150.240385 0.110327867 74.8331045
160.25641 0.118281999 75.4377732
170.272436 0.125310612 75.9391571
180.288462 0.132252006 76.4074454
190.304487 0.133692983 76.5015723
200.320513 0.137342674 76.7355101
210.336538 0.13616616 76.6607839
220.352564 0.13792768 76.7724287
230.36859 0.130945582 76.3212171
240.384615 0.12912364 76.1995153
250.400641 0.11689124 75.3350394
260.416667 0.11465169 75.1670093
270.432692 0.0971258875 73.7261001
280.448718 0.0926456619 73.3159019
290.464744 0.0771238362 71.7231726
300.480769 0.0710244254 71.0075547
310.496795 0.055279095 68.8306186
320.512821 0.0418906682 66.4217458
330.528846 0.0296880613 63.4310369
340.544872 0.0186094929 59.3740908
350.560897 0.00737768603 51.3378035
360.576923 0.0053595179 48.5619146
370.592949 0.013714029 56.7227013
380.608974 0.0230114006 61.2182612
390.625 0.0304614128 63.6544009
400.641026 0.0379090691 65.5542625
410.657051 0.043900744 66.8288377
420.673077 0.0483397787 67.6654932
430.689103 0.0538431544 68.60201
440.705128 0.0560576844 68.9521032
450.721154 0.0592133912 69.4277988
460.737179 0.0612483409 69.7212867
470.753205 0.0627191357 69.9274014
480.769231 0.062396826 69.8826501
490.785256 0.063214113 69.9956811
500.801282 0.0613136709 69.7305465
510.817308 0.0608747254 69.6681404
520.833333 0.0584524522 69.3154548
530.849359 0.0561624781 68.9683253
540.865385 0.052835983 68.4379959
550.88141 0.048922245 67.7695276
560.897436 0.0449037112 67.0250448
570.913462 0.0401274749 66.0482367
580.929487 0.0349946562 64.8594347
590.945513 0.0306447158 63.706512
600.961538 0.0222851753 60.9397212
610.977564 0.0187986397 59.4619286
620.99359 0.0141806694 57.0133347
631.009615 0.0107408262 54.6001539
641.025641 0.0100374861 54.0118992
651.041667 0.0118056559 55.4212025
661.057692 0.0149262147 57.4583938
671.073718 0.0181853565 59.1738365
