# Region type : patch sphere
#      Faces  : 264
#      Area   : 1.243039730e-01
#           Time	areaAverage(p)	areaAverage(U)
         2.5e-06	1.013250022e+05	(6.283182723e-01 7.724189187e-15 3.787790959e-14)
           5e-06	1.013250066e+05	(6.283164636e-01 -2.285800842e-13 -9.748097119e-14)
         7.5e-06	1.013250126e+05	(6.283131046e-01 2.378713411e-13 1.032863619e-13)
           1e-05	1.013250202e+05	(6.283081953e-01 2.825574373e-14 8.912995045e-14)
        1.25e-05	1.013250291e+05	(6.283017357e-01 -9.191995933e-14 -2.627964551e-13)
         1.5e-05	1.013250393e+05	(6.282937259e-01 1.919420398e-13 1.850549400e-13)
        1.75e-05	1.013250508e+05	(6.282841657e-01 6.666508941e-15 1.838718489e-14)
           2e-05	1.013250635e+05	(6.282730554e-01 -1.993984457e-14 4.547825429e-14)
        2.25e-05	1.013250772e+05	(6.282603948e-01 -8.674409103e-15 5.128312655e-14)
         2.5e-05	1.013250920e+05	(6.282461841e-01 1.861788596e-13 7.857447413e-14)
        2.75e-05	1.013251079e+05	(6.282304233e-01 -4.543817090e-14 3.646047124e-14)
           3e-05	1.013251246e+05	(6.282131123e-01 -1.053386161e-13 -1.511366719e-13)
        3.25e-05	1.013251423e+05	(6.281942513e-01 4.243807309e-14 1.499154296e-13)
         3.5e-05	1.013251608e+05	(6.281738403e-01 -9.685755964e-14 -1.796982519e-13)
        3.75e-05	1.013251801e+05	(6.281518793e-01 2.274449685e-13 1.853731907e-13)
           4e-05	1.013252002e+05	(6.281283685e-01 -8.691441574e-15 -1.894063779e-13)
        4.25e-05	1.013252210e+05	(6.281033078e-01 1.002905703e-13 1.658282388e-13)
         4.5e-05	1.013252426e+05	(6.280766973e-01 -3.398183633e-14 -2.029873087e-14)
        4.75e-05	1.013252649e+05	(6.280485370e-01 -4.152785659e-14 1.706322223e-13)
           5e-05	1.013252879e+05	(6.280188272e-01 4.008326734e-14 -2.665024647e-13)
        5.25e-05	1.013253115e+05	(6.279875677e-01 2.671544085e-13 -6.807252009e-14)
         5.5e-05	1.013253358e+05	(6.279547588e-01 -1.668652130e-14 1.901287946e-13)
        5.75e-05	1.013253608e+05	(6.279204005e-01 8.257100391e-15 -1.721591194e-13)
           6e-05	1.013253864e+05	(6.278844928e-01 4.252517160e-14 5.151069031e-14)
        6.25e-05	1.013254127e+05	(6.278470359e-01 -1.434673230e-14 2.586838602e-14)
         6.5e-05	1.013254397e+05	(6.278080298e-01 -1.031998195e-14 -1.916025515e-13)
        6.75e-05	1.013254673e+05	(6.277674747e-01 3.790596395e-13 1.017876249e-13)
           7e-05	1.013254956e+05	(6.277253706e-01 -7.707807500e-14 -1.216358309e-13)
        7.25e-05	1.013255246e+05	(6.276817177e-01 2.106585394e-14 9.235378491e-14)
         7.5e-05	1.013255543e+05	(6.276365160e-01 1.219668373e-15 -1.883454287e-13)
        7.75e-05	1.013255847e+05	(6.275897657e-01 1.329163891e-13 1.822013694e-14)
           8e-05	1.013256158e+05	(6.275414669e-01 1.893840218e-13 -2.999024599e-14)
        8.25e-05	1.013256477e+05	(6.274916197e-01 -1.458017610e-14 -1.458195348e-13)
         8.5e-05	1.013256804e+05	(6.274402242e-01 1.710528743e-13 -7.906266153e-14)
        8.75e-05	1.013257139e+05	(6.273872805e-01 -1.099607209e-13 4.085343679e-14)
           9e-05	1.013257482e+05	(6.273327889e-01 9.914000748e-14 4.706453817e-14)
        9.25e-05	1.013257834e+05	(6.272767494e-01 -3.091680563e-14 -9.136861544e-14)
         9.5e-05	1.013258194e+05	(6.272191621e-01 1.463107676e-13 -8.621249286e-14)
        9.75e-05	1.013258564e+05	(6.271600272e-01 -4.686146174e-14 3.309453480e-14)
          0.0001	1.013258942e+05	(6.270993449e-01 1.117083278e-13 1.043173740e-13)
       0.0001025	1.013259330e+05	(6.270371152e-01 -6.198890341e-14 -1.822647311e-13)
        0.000105	1.013259727e+05	(6.269733385e-01 2.355861230e-13 1.080980408e-13)
       0.0001075	1.013260134e+05	(6.269080147e-01 -5.592850312e-14 -2.589916133e-14)
         0.00011	1.013260551e+05	(6.268411441e-01 -1.027011401e-14 2.256113919e-14)
       0.0001125	1.013260977e+05	(6.267727268e-01 1.498211140e-13 -1.384475321e-14)
        0.000115	1.013261414e+05	(6.267027630e-01 -7.195497799e-14 2.242313342e-13)
       0.0001175	1.013261860e+05	(6.266312529e-01 1.125143058e-13 1.062691117e-13)
         0.00012	1.013262316e+05	(6.265581966e-01 -2.932190387e-14 -1.005586654e-13)
       0.0001225	1.013262781e+05	(6.264835944e-01 8.955758904e-14 -8.393234460e-14)
        0.000125	1.013263255e+05	(6.264074464e-01 -1.295744298e-13 3.061873531e-13)
       0.0001275	1.013263739e+05	(6.263297528e-01 3.877646059e-14 -9.109001008e-14)
         0.00013	1.013264232e+05	(6.262505138e-01 -5.193718429e-14 2.056619200e-13)
       0.0001325	1.013264734e+05	(6.261697295e-01 1.090072875e-13 -6.333886450e-14)
        0.000135	1.013265244e+05	(6.260874003e-01 2.521512077e-13 1.256065258e-13)
       0.0001375	1.013265762e+05	(6.260035262e-01 -7.520003514e-14 -4.730233939e-14)
         0.00014	1.013266288e+05	(6.259181076e-01 2.356784277e-13 1.578361181e-13)
       0.0001425	1.013266822e+05	(6.258311445e-01 -2.071385083e-14 1.819042003e-14)
        0.000145	1.013267362e+05	(6.257426373e-01 1.551933530e-13 -4.659745051e-14)
       0.0001475	1.013267910e+05	(6.256525862e-01 -1.453046127e-13 1.191206065e-14)
